GENE,MV411-DMSO_coculture_12h,MV411-VHL_coculture_12h,MV411-MYB-dTAG-DMSO_coculture_12h,MV411-MYB-dTAG-VHL_coculture_12h
NAT1,344.6,336.8,380.25,381.8
AAMP,531.4,545.6,523.0,426.8
AARS1,818.8,850.8,705.75,728.6
ABAT,155.0,181.2,183.5,220.2
ABCA1,128.8,125.2,50.25,50.4
ABCA2,70.6,79.0,99.5,51.8
ABCA3,2.8,4.8,2.25,1.4
ABCB7,129.4,120.8,122.5,117.8
ABCF1,737.2,749.6,727.5,586.2
ABL1,408.6,472.6,547.0,441.4
ABL2,605.0,733.4,642.5,745.8
ABR,1029.0,1233.2,1061.25,1393.2
ACAA1,1076.0,1191.6,1352.5,1391.0
ACACA,1312.2,1475.0,1216.25,865.6
ACACB,41.8,46.4,49.0,49.2
ACADM,2228.4,1901.6,1918.5,1737.0
ACADS,51.6,41.2,46.0,52.2
ACADSB,1679.4,2070.6,1999.0,1715.0
ACADVL,386.4,367.0,374.0,328.2
ACAT1,1239.8,1099.8,999.75,829.4
ACAT2,6858.0,6634.4,6246.75,5380.2
ASIC1,172.2,197.4,132.25,105.2
ACLY,3580.8,3796.8,3377.25,2718.4
ACO1,327.6,334.8,341.75,354.2
ACO2,680.6,702.4,655.5,566.8
ACOX1,969.2,1024.6,1001.5,985.6
ACP1,3926.4,4066.8,4045.5,3603.6
ACP2,77.6,111.0,97.5,109.8
ACP3,561.0,683.8,610.75,611.8
ACRV1,2.4,5.4,6.5,10.4
ACTB,45670.8,46049.2,42712.5,51588.8
ACTG1,56260.4,58630.8,51208.5,52883.6
ACTN4,2313.0,2257.4,2527.25,2446.0
ACTL6A,1919.8,1828.4,1987.75,1533.4
ACTN1,1073.8,937.6,1137.5,738.8
ACVR1,75.2,83.2,92.75,128.0
ACVR1B,189.2,211.6,218.0,203.6
ACVR2A,111.2,126.2,131.75,151.6
ACVR2B,257.0,271.0,307.25,250.4
ACVRL1,116.4,137.6,102.75,199.2
ACY1,93.8,83.4,84.25,52.0
ACYP1,1055.2,1108.4,1067.5,920.0
ACYP2,245.2,241.8,194.75,246.2
ADA,1211.4,1220.6,1736.0,1067.6
ADAM8,22.4,22.0,21.25,46.6
ADAM10,6025.2,6714.2,6750.0,8613.2
ADAR,3847.2,4523.4,4621.0,4003.8
ADARB1,231.0,269.8,199.5,202.8
ADCY3,416.6,478.6,477.75,448.8
ADCY5,10.0,9.8,7.25,9.8
ADCY6,0.2,0.2,0.0,3.2
ADCY7,1350.0,1743.4,1804.25,2809.4
ADCY9,374.8,492.2,749.0,455.2
ADCYAP1R1,2.0,2.6,0.5,0.4
ADD1,1187.6,1502.4,1486.75,1957.4
ADD2,828.4,1025.6,1240.0,634.0
ADD3,2019.6,2078.0,1726.0,2240.6
PLIN2,989.0,901.6,56.75,151.8
ADH5,2110.0,2182.0,2526.5,2238.0
ADK,1968.4,1836.8,1825.0,1610.2
ADM,2.0,3.0,3.5,5.2
ADORA1,1.6,3.2,2.5,12.8
ADORA2A,14.8,9.2,8.5,32.8
ADORA2B,562.8,536.8,374.0,444.4
ADORA3,23.8,25.6,12.0,29.6
ADPRH,0.4,13.0,44.25,68.0
PARP1,2582.0,2467.0,2861.75,2338.4
PARP4,170.6,188.6,309.5,298.6
ADRA2C,4.4,2.4,0.25,0.8
ADRB1,6.2,7.4,4.5,6.8
ADRB2,65.8,61.2,55.0,62.4
GRK2,1026.6,1091.4,1087.0,755.6
GRK3,802.6,983.6,966.75,679.8
ADSL,556.2,494.6,554.75,393.0
ADSS2,2275.8,2127.0,2284.25,1700.0
AP2A1,141.0,152.6,167.25,181.8
AP2A2,231.2,232.0,196.5,205.8
AP1B1,359.0,344.4,347.75,364.8
AP2B1,4436.6,5357.4,5152.75,3976.2
AP1G1,4145.0,4938.0,4385.25,4353.2
TLE5,436.4,422.4,13.5,46.8
AFG3L1P,502.4,632.4,618.0,688.6
AGA,1089.2,1218.0,1275.75,1318.6
AGER,137.6,161.0,146.25,173.4
AGL,714.4,694.6,715.0,811.6
JAG1,22.2,25.2,9.5,67.6
AGT,46.6,57.6,53.75,101.2
AHCY,4734.8,4485.6,4017.5,3301.8
AHR,860.8,948.6,1127.75,1217.2
AIF1,2473.2,2593.2,2802.0,3614.8
CRYBG1,921.2,1008.8,1193.25,715.0
AK1,14.6,14.6,8.75,15.2
AK2,24871.0,26799.4,29580.25,19075.4
AK4,30.4,76.4,186.0,259.8
AKT1,1372.0,1490.6,1677.0,1520.4
AKT2,1177.0,1278.0,1135.0,1014.0
ALAD,983.0,1269.0,1150.75,1241.6
ALAS1,74.0,90.0,64.0,88.4
ALAS2,0.6,2.0,0.5,1.6
ALCAM,1379.8,1341.8,1278.0,646.0
ABCD1,139.4,146.2,92.5,125.2
ALDH2,15.6,21.8,12.0,20.6
ALDH1B1,1716.8,1802.6,1476.0,1227.2
ALDH1A3,59.8,67.8,53.5,54.8
ALDH3B1,276.6,313.2,177.75,245.4
ALDH9A1,2324.6,2300.0,2252.5,1987.6
ALDH3A2,310.0,354.0,378.5,317.0
ABCD2,222.0,301.2,176.0,512.6
ALDOA,4825.6,4747.2,4336.5,4739.4
ALDOB,5.6,2.8,3.75,3.0
ALDOC,492.6,536.6,357.25,531.2
AKR1B1,832.0,841.0,939.75,968.8
ALOX12,14.0,19.0,16.0,14.6
ALOX5AP,1102.6,2459.8,2036.25,9887.0
ALOX15,2.4,4.6,0.75,4.6
ALX3,8.6,13.6,15.0,10.8
AMD1,7520.6,7524.6,7498.0,6010.6
AMFR,577.0,577.0,583.75,666.4
AMH,1.2,1.0,2.25,1.6
AMPD2,138.0,139.4,112.25,115.4
AMPD3,95.2,126.6,117.25,299.2
AMPH,4.6,6.2,5.5,5.2
BIN1,24.2,24.8,3.75,35.2
AMT,98.4,101.4,95.5,95.8
AMY1A,21.6,17.8,2.0,2.4
AMY1B,21.6,17.8,2.0,2.4
AMY1C,21.6,17.8,2.0,2.4
AMY2B,3.6,3.6,2.75,1.8
ANG,2.6,2.6,4.0,3.4
ANGPT1,45.8,33.2,16.0,19.2
ANGPT2,22.6,24.8,27.75,29.4
ANK2,83.2,124.2,148.0,125.8
ANK3,2.8,5.4,1.75,9.4
SLC25A4,37.0,51.0,55.5,43.4
SLC25A5,7090.2,7137.0,7516.5,7230.6
SLC25A6,6001.6,6291.4,6717.0,7228.0
ANXA1,860.0,872.4,493.25,1147.6
ANXA2,1390.4,1509.0,1623.5,2271.2
303,9.8,12.0,9.75,13.4
ANXA4,844.4,856.0,1110.75,1047.8
ANXA5,874.6,964.2,831.5,1278.6
ANXA6,352.0,308.6,84.5,95.2
ANXA7,1048.6,1047.8,1072.5,1021.8
ANXA11,778.8,767.2,709.0,626.8
AOAH,3.6,5.4,2.0,3.0
AOC2,2.6,1.6,3.75,3.2
AOX1,1.8,4.4,10.0,3.4
APAF1,1583.6,1715.4,1902.25,2031.4
NUDT2,226.2,199.0,189.25,202.2
APBA1,356.4,390.6,425.75,215.6
APBA2,28.0,19.6,18.0,25.8
APBB1,56.4,53.4,17.0,14.4
APBB2,95.8,118.6,116.25,127.0
APC,496.6,496.8,448.25,425.6
APEH,225.4,202.0,189.5,162.6
APEX1,5672.2,5407.4,5264.0,3999.4
BIRC2,306.0,300.6,330.5,363.6
BIRC3,6.0,11.4,3.25,10.8
XIAP,1315.2,1500.8,1575.5,1734.4
BIRC5,3391.2,3634.0,3208.5,4032.2
APLP1,17.4,27.2,18.75,17.0
APLP2,4621.8,4723.8,4062.75,3085.6
APOA1,3.4,5.0,6.5,6.6
APOC1,36.8,30.2,14.0,14.0
APOC2,3739.2,4024.4,5659.0,6117.0
APOC4,2.0,1.8,1.25,4.8
APOD,2.0,0.6,2.0,3.2
APP,2239.8,2165.8,2118.0,1992.8
APRT,1167.6,1142.4,962.0,848.8
