GENE,MV411-DMSO_coculture_12h,MV411-VHL_coculture_12h,MV411-MYB-dTAG-DMSO_coculture_12h,MV411-MYB-dTAG-VHL_coculture_12h
NAT1,15.6,17.4,21.25,27.2
AAMP,7.4,10.6,6.25,11.6
AARS1,26.8,26.4,20.5,23.8
ABAT,4.8,5.8,7.75,11.4
ABCA1,10.4,11.8,5.75,6.0
ABCA2,1.0,2.8,1.5,1.0
ABCA3,0.4,0.0,0.5,0.0
ABCB7,1.0,0.8,1.75,0.6
ABCF1,29.0,36.2,29.25,39.6
ABL1,30.0,29.6,39.25,33.8
ABL2,47.0,69.4,50.75,79.4
ABR,48.0,64.2,48.75,77.4
ACAA1,12.8,17.8,16.5,19.2
ACACA,92.2,111.4,92.75,76.8
ACACB,2.6,2.8,6.0,3.0
ACADM,11.0,9.2,11.0,16.0
ACADS,0.6,0.4,1.0,1.0
ACADSB,22.6,24.2,29.0,29.6
ACADVL,2.6,5.2,2.25,3.6
ACAT1,8.0,5.8,9.0,6.2
ACAT2,24.6,26.4,9.0,18.2
ASIC1,4.6,3.6,4.75,2.8
ACLY,53.4,55.4,55.75,62.2
ACO1,2.4,1.4,2.5,2.8
ACO2,6.0,8.2,7.75,5.6
ACOX1,22.8,26.0,22.5,32.4
ACP1,89.8,106.8,112.0,120.4
ACP2,5.2,6.2,9.25,7.8
ACP3,13.6,21.8,15.75,27.4
ACRV1,0.0,0.0,0.0,0.0
ACTB,534.8,548.8,558.5,760.2
ACTG1,1017.6,1146.2,1058.0,942.6
ACTN4,28.6,32.8,38.75,38.0
ACTL6A,19.0,17.0,17.25,21.2
ACTN1,10.8,10.6,14.5,14.4
ACVR1,4.8,3.6,8.75,14.0
ACVR1B,17.4,26.2,23.25,25.2
ACVR2A,5.2,5.4,7.25,6.4
ACVR2B,18.6,19.2,37.75,37.2
ACVRL1,3.2,2.8,2.0,8.2
ACY1,1.2,1.8,0.75,1.0
ACYP1,13.6,17.2,21.5,16.8
ACYP2,0.6,1.8,1.25,2.0
ADA,15.2,13.4,18.0,9.4
ADAM8,0.4,2.2,1.75,6.0
ADAM10,85.6,104.2,116.5,182.8
ADAR,84.0,117.6,124.75,144.6
ADARB1,4.2,8.6,7.25,8.4
ADCY3,5.2,7.8,7.25,9.0
ADCY5,0.0,0.0,0.0,0.0
ADCY6,0.0,0.0,0.0,0.2
ADCY7,37.4,50.8,61.75,93.0
ADCY9,37.8,59.2,98.0,67.8
ADCYAP1R1,0.2,0.0,0.0,0.0
ADD1,21.2,31.8,30.0,53.6
ADD2,13.2,16.0,24.5,10.0
ADD3,16.8,24.2,19.75,30.8
PLIN2,26.0,29.6,2.75,4.4
ADH5,21.8,21.2,19.5,28.8
ADK,13.2,16.0,18.5,21.2
ADM,0.2,0.0,0.5,0.0
ADORA1,0.0,0.4,0.0,0.0
ADORA2A,2.8,1.0,2.75,6.6
ADORA2B,30.0,32.8,22.25,27.8
ADORA3,1.4,2.0,2.0,3.8
ADPRH,0.0,0.4,0.75,1.4
PARP1,21.4,20.8,22.75,27.2
PARP4,3.8,4.6,3.5,7.4
ADRA2C,0.2,0.4,0.0,0.0
ADRB1,1.6,0.8,1.5,0.8
ADRB2,16.2,17.6,13.75,23.0
GRK2,26.0,30.6,33.75,23.2
GRK3,29.6,47.2,47.25,44.4
ADSL,8.2,3.2,4.75,4.6
ADSS2,17.8,17.4,14.0,21.8
AP2A1,2.0,1.2,2.5,1.6
AP2A2,6.6,6.0,5.25,6.8
AP1B1,8.4,7.8,9.75,9.4
AP2B1,68.4,100.4,94.5,103.6
AP1G1,115.6,156.4,143.75,191.2
TLE5,4.2,4.6,0.0,0.0
AFG3L1P,44.6,52.8,58.0,70.4
AGA,10.4,14.2,19.75,24.0
AGER,9.6,11.2,8.5,9.2
AGL,7.8,9.6,8.75,13.6
JAG1,2.2,2.6,0.75,10.8
AGT,0.8,1.2,1.5,2.0
AHCY,44.2,40.6,52.25,33.0
AHR,42.6,63.0,69.75,119.8
AIF1,24.6,27.4,21.25,29.8
CRYBG1,17.0,20.4,26.25,24.0
AK1,0.4,0.0,0.0,0.0
AK2,193.6,239.6,262.0,218.8
AK4,1.2,2.8,6.5,12.6
AKT1,12.6,14.2,15.5,21.6
AKT2,17.8,24.6,24.75,23.4
ALAD,20.4,25.0,32.5,33.6
ALAS1,4.0,7.6,5.25,14.6
ALAS2,0.0,0.0,0.0,0.0
ALCAM,13.6,13.8,21.25,9.0
ABCD1,4.4,4.4,2.0,3.8
ALDH2,1.2,1.6,1.75,3.0
ALDH1B1,52.0,59.2,50.75,55.6
ALDH1A3,1.4,1.4,0.0,0.8
ALDH3B1,6.8,10.6,6.0,7.8
ALDH9A1,43.0,49.4,52.75,63.6
ALDH3A2,5.4,5.0,7.5,7.2
ABCD2,5.6,10.0,4.5,21.6
ALDOA,71.6,64.2,57.5,55.4
ALDOB,0.0,0.0,0.0,0.0
ALDOC,3.8,3.8,3.5,4.4
AKR1B1,6.4,4.0,5.0,6.6
ALOX12,0.0,0.2,0.0,0.0
ALOX5AP,7.6,20.8,19.0,105.6
ALOX15,0.0,0.2,0.0,0.4
ALX3,0.0,0.0,0.0,0.0
AMD1,391.4,439.2,441.0,500.4
AMFR,14.8,13.2,11.0,18.6
AMH,0.0,0.0,1.0,0.2
AMPD2,9.2,11.0,6.0,11.0
AMPD3,5.0,4.0,5.25,17.0
AMPH,0.0,0.0,0.0,0.0
BIN1,0.8,1.2,0.0,0.2
AMT,1.2,1.2,2.0,2.6
AMY1A,0.0,0.0,0.0,0.0
AMY1B,0.0,0.0,0.0,0.0
AMY1C,0.0,0.0,0.0,0.0
AMY2B,0.0,0.4,0.0,0.0
ANG,0.0,0.0,0.25,0.0
ANGPT1,0.8,0.6,0.5,0.2
ANGPT2,0.0,0.0,0.0,0.2
ANK2,6.8,9.6,10.75,7.0
ANK3,0.0,0.2,0.0,0.6
SLC25A4,0.0,0.0,0.0,0.2
SLC25A5,53.6,56.6,66.25,78.6
SLC25A6,77.2,93.4,98.75,95.4
ANXA1,14.8,15.2,9.5,35.4
ANXA2,13.8,14.0,19.25,22.6
303,0.2,0.2,0.5,0.2
ANXA4,6.2,5.8,6.75,7.2
ANXA5,7.8,7.2,4.25,10.2
ANXA6,3.4,2.6,0.25,1.2
ANXA7,6.6,8.8,9.0,6.6
ANXA11,10.4,13.0,11.25,10.6
AOAH,0.4,0.2,0.0,0.0
AOC2,0.8,0.0,0.0,0.0
AOX1,0.0,0.0,0.5,0.0
APAF1,33.0,43.6,49.75,67.0
NUDT2,6.6,3.6,5.0,7.4
APBA1,16.0,18.4,22.75,15.6
APBA2,0.2,0.4,0.75,0.8
APBB1,0.6,0.2,0.25,0.4
APBB2,2.4,4.0,3.25,7.2
APC,24.6,32.2,26.25,31.0
APEH,4.4,4.2,3.5,5.8
APEX1,72.4,78.6,91.0,75.2
BIRC2,6.0,6.8,8.5,9.4
BIRC3,0.2,0.6,1.0,1.8
XIAP,43.4,52.6,57.75,81.4
BIRC5,57.4,58.4,61.0,102.6
APLP1,0.4,0.6,0.5,0.4
APLP2,46.8,49.6,42.75,35.8
APOA1,0.6,1.4,1.0,0.6
APOC1,0.0,0.2,0.0,0.0
APOC2,27.4,29.6,39.75,39.4
APOC4,0.0,0.2,0.0,0.0
APOD,0.0,0.0,0.0,0.0
APP,20.4,24.4,22.25,20.0
APRT,9.4,11.8,9.5,8.2
FAS,0.2,1.4,6.75,10.4
SHROOM2,0.0,0.6,0.25,1.6
AQP1,1.0,1.2,1.5,2.0
AQP3,0.8,2.4,3.0,2.2
AQP6,0.0,0.0,0.0,0.0
AR,0.4,0.0,0.25,1.8
ABCC6,0.0,0.0,0.0,0.0
ARAF,11.0,11.2,15.25,15.8
ARCN1,121.2,167.4,143.25,193.0
TRIM23,8.6,10.0,13.5,17.4
ARF1,124.2,138.4,129.25,147.0
ARF3,29.2,45.8,44.0,51.0
ARF4,80.0,83.4,83.25,98.6
ARL4D,1.0,1.2,0.25,0.2
ARF5,3.2,5.4,4.0,4.6
ARF6,252.8,318.6,317.75,468.4
ARG2,1.0,1.0,0.75,0.8
RHOA,221.4,280.0,229.0,306.0
RHOB,50.4,60.0,8.0,28.2
RHOC,2.2,1.6,1.75,2.8
RHOG,34.0,35.2,31.25,33.6
ARHGAP1,15.6,21.8,23.0,26.0
ARHGAP4,0.4,1.6,1.75,0.4
ARHGAP6,0.0,0.0,0.0,0.2
ARHGDIA,83.6,118.0,100.75,78.8
ARHGDIB,249.6,301.6,301.0,243.6
RHOH,8.8,14.8,25.0,28.2
ARL1,20.6,27.0,28.5,30.2
PHOX2A,0.0,0.0,0.0,0.0
ARL2,1.8,3.0,1.0,2.6
ARL3,3.0,3.2,5.25,12.2
ARNT,22.6,29.0,28.75,39.2
ARNTL,8.6,12.4,12.75,17.0
ARRB1,67.8,90.8,91.0,79.0
ARRB2,21.2,29.6,17.5,31.0
ARSA,1.8,1.8,1.75,3.6
ARSB,19.6,32.8,39.25,40.8
STS,5.4,7.4,25.75,16.2
ARSD,15.8,12.0,13.25,20.2
ARVCF,0.0,0.4,0.0,0.6
ASAH1,13.0,13.2,20.0,21.2
ASGR1,0.4,0.2,0.0,0.2
ASGR2,0.0,0.4,0.25,0.2
ASL,1.2,0.6,0.25,0.4
GET3,4.8,3.8,3.0,3.4
ASNS,3.2,4.0,2.75,2.8
ASPH,71.8,79.2,59.75,85.0
ASS1,16.2,13.6,11.25,6.2
ZFHX3,0.0,0.8,0.25,1.0
ATF1,35.0,32.0,32.75,37.2
ATF3,43.0,53.4,45.25,68.0
ATF4,161.4,156.8,131.25,150.2
ATIC,6.4,6.6,6.0,6.2
ATM,56.6,82.8,81.75,117.0
RERE,11.8,22.0,29.5,38.6
ATOX1,4.4,5.0,6.75,6.6
ATP1A1,20.6,18.2,14.25,18.2
ATP1A2,0.0,0.2,0.0,0.6
ATP1A3,1.0,0.6,0.25,0.2
ATP1B1,1.8,2.6,1.0,1.8
ATP1B3,53.6,48.8,44.25,55.4
FXYD2,0.0,0.0,0.0,0.0
ATP2A1,0.0,0.0,0.75,0.4
ATP2A2,110.8,138.2,150.0,179.2
ATP2A3,10.6,12.4,12.5,10.4
ATP2B1,52.0,51.2,51.0,63.2
ATP2B2,0.6,0.2,0.0,0.6
ATP2B3,0.2,2.4,3.0,0.4
ATP2B4,37.0,46.4,82.0,45.6
ATP5F1A,23.6,17.0,24.75,27.6
ATP5F1B,41.0,46.4,43.5,36.8
ATP5F1C,12.0,14.2,16.0,15.4
ATP5F1D,5.2,4.4,4.0,1.8
ATP5F1E,28.0,27.8,29.75,31.4
ATP5PB,44.8,34.2,33.0,54.6
ATP5MC1,2.4,3.4,2.75,2.2
ATP5MC2,17.8,18.8,21.25,21.4
ATP5MC3,79.4,95.4,99.5,116.4
ATP5ME,14.0,11.4,12.75,10.4
ATP5PF,10.8,8.0,8.0,10.8
ATP6V1A,26.4,35.2,37.25,55.0
ATP6V1B2,134.0,139.4,128.0,153.4
ATP6V0C,19.6,11.4,22.5,16.0
ATP6V1C1,67.0,89.8,101.25,119.8
ATP6V1E1,36.4,37.0,34.5,53.4
ATP6V0B,26.4,39.0,31.75,48.8
ATP6V1G2,0.4,1.0,2.75,2.2
ATP6V0A1,7.2,9.6,5.75,19.2
ATP6AP1,3.6,5.6,4.25,5.0
ATP7A,2.2,4.4,2.5,4.8
ATP5PO,7.8,9.8,8.0,12.2
ATP7B,0.6,1.0,0.75,2.0
ATR,2.2,1.4,2.75,3.8
ATRX,57.8,50.4,70.0,86.2
AUH,3.8,5.0,4.25,3.2
AUP1,147.6,195.0,168.25,171.4
AVPR2,0.0,0.0,0.0,0.0
AXL,1.0,2.8,0.75,2.2
AZU1,1.2,1.8,2.5,0.4
B2M,148.8,146.8,132.25,231.4
BAAT,0.4,0.2,0.5,0.8
BACH1,137.4,174.4,169.75,184.8
BAD,3.0,3.6,3.75,2.8
BAG1,69.6,62.2,60.0,51.0
ADGRB1,0.4,0.0,0.75,0.2
BAK1,16.0,19.6,15.5,23.0
NKX3-2,1.8,1.4,0.75,3.6
BARD1,72.6,96.2,123.0,142.0
BAX,6.6,6.8,9.75,6.8
BBS1,4.4,3.4,2.25,2.8
BBS2,2.8,4.2,3.25,4.8
BBS4,7.8,8.0,8.5,9.4
BCAT1,185.6,196.6,236.25,227.6
BCAT2,6.4,10.6,8.0,3.8
BCKDHA,2.8,3.6,6.0,3.2
BCKDHB,5.6,3.0,5.75,7.6
CCND1,0.4,0.0,0.0,0.0
BCL2,160.2,188.0,309.25,153.2
BCL2A1,1.2,2.2,0.0,3.6
BCL2L1,13.8,20.0,26.75,27.0
BCL2L2,29.6,34.2,36.5,40.6
BCL3,2.0,2.6,3.75,5.6
BCL6,0.6,0.4,0.25,2.4
BCL7A,59.6,77.6,113.25,109.0
BCL9,0.8,1.6,2.25,1.4
OPN1SW,0.0,0.0,0.0,0.0
BCR,3.6,3.0,2.0,0.4
BCS1L,1.4,0.8,0.75,0.8
BDH1,16.8,21.4,6.25,10.2
BDKRB2,0.0,0.0,0.0,0.2
BDNF,0.4,1.8,0.75,1.6
CFB,0.0,0.4,0.5,0.6
BFSP1,0.6,0.0,0.25,0.4
BGLAP,0.0,0.6,0.0,1.0
CEACAM1,0.0,0.0,0.0,0.0
BICD1,1.0,1.0,0.25,0.4
BID,78.6,92.2,96.25,80.0
BIK,0.6,1.0,4.75,2.0
PRDM1,5.0,22.6,16.25,107.8
BLM,8.4,10.0,15.75,12.0
BLMH,27.0,24.6,22.5,24.0
CXCR5,0.0,0.0,0.25,0.0
BLVRB,0.2,1.0,0.0,1.4
BMI1,31.8,32.4,53.75,51.2
BMP1,5.8,6.0,7.5,4.6
BMP2,0.2,0.6,0.75,0.2
BMP6,0.2,0.0,0.0,0.0
BMP8B,2.2,3.0,2.0,3.0
