GENE,mr571-MV411-DMSO_coculture_12h-r1_tcount,mr572-MV411-DMSO_coculture_12h-r2_tcount,mr573-MV411-DMSO_coculture_12h-r3_tcount,mr574-MV411-DMSO_coculture_12h-r4_tcount,mr575-MV411-DMSO_coculture_12h-r5_tcount,mr576-MV411-VHL_coculture_12h-r1_tcount,mr577-MV411-VHL_coculture_12h-r2_tcount,mr578-MV411-VHL_coculture_12h-r3_tcount,mr579-MV411-VHL_coculture_12h-r4_tcount,mr580-MV411-VHL_coculture_12h-r5_tcount,mr581-MV411-MYB-dTAG-DMSO_coculture_12h-r1_tcount,mr582-MV411-MYB-dTAG-DMSO_coculture_12h-r2_tcount,mr583-MV411-MYB-dTAG-DMSO_coculture_12h-r3_tcount,mr584-MV411-MYB-dTAG-DMSO_coculture_12h-r4_tcount,mr585-MV411-MYB-dTAG-VHL_coculture_12h-r1_tcount,mr586-MV411-MYB-dTAG-VHL_coculture_12h-r2_tcount,mr587-MV411-MYB-dTAG-VHL_coculture_12h-r3_tcount,mr588-MV411-MYB-dTAG-VHL_coculture_12h-r4_tcount,mr589-MV411-MYB-dTAG-VHL_coculture_12h-r5_tcount
NAT1,20,17,8,12,21,23,17,10,16,21,24,22,27,12,41,26,14,28,27
AAMP,7,8,14,6,2,6,10,20,6,11,8,6,7,4,17,5,7,14,15
AARS1,30,24,40,21,19,21,36,28,22,25,15,14,26,27,34,25,18,23,19
ABAT,6,8,3,4,3,9,7,4,3,6,5,11,7,8,10,18,10,4,15
ABCA1,9,7,3,20,13,12,15,9,12,11,4,12,6,1,7,13,4,1,5
ABCA2,1,0,2,2,0,3,3,3,2,3,4,0,2,0,0,2,2,1,0
ABCA3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ABCB7,1,2,0,2,0,0,1,0,0,3,1,2,4,0,0,0,1,2,0
ABCF1,28,33,42,25,17,45,48,28,29,31,38,19,39,21,35,35,32,53,43
ABL1,37,25,21,38,29,40,30,26,32,20,28,37,52,40,52,39,15,17,46
ABL2,62,55,38,58,22,78,97,47,60,65,67,41,66,29,102,82,47,72,94
ABR,47,63,38,65,27,85,83,48,48,57,37,33,86,39,92,70,71,53,101
ACAA1,15,19,10,12,8,20,31,13,6,19,17,14,22,13,15,23,17,15,26
ACACA,100,110,89,109,53,98,166,94,115,84,93,82,124,72,133,67,63,33,88
ACACB,3,3,5,0,2,1,5,5,0,3,10,2,9,3,4,6,1,3,1
ACADM,19,9,3,16,8,6,15,1,14,10,4,9,26,5,18,17,14,10,21
ACADS,2,0,1,0,0,0,2,0,0,0,1,1,2,0,0,2,0,1,2
ACADSB,29,32,12,21,19,24,36,20,25,16,29,30,37,20,44,28,25,11,40
ACADVL,1,3,3,2,4,8,6,0,5,7,4,0,5,0,2,8,0,4,4
ACAT1,6,7,8,12,7,7,5,4,9,4,13,8,14,1,12,2,1,6,10
ACAT2,24,30,29,20,20,31,32,25,17,27,10,6,16,4,34,14,8,24,11
ASIC1,4,10,4,4,1,2,7,3,3,3,9,7,2,1,0,7,0,1,6
ACLY,67,57,36,68,39,70,71,33,49,54,67,44,70,42,98,61,50,46,56
ACO1,6,1,1,4,0,3,3,0,1,0,3,1,2,4,5,5,0,3,1
ACO2,9,1,10,5,5,9,6,5,14,7,7,10,7,7,10,6,2,5,5
ACOX1,28,20,17,36,13,33,34,5,24,34,21,26,33,10,34,35,34,20,39
ACP1,111,83,65,111,79,147,135,64,89,99,139,95,142,72,144,127,71,117,143
ACP2,6,8,5,4,3,9,3,1,11,7,14,9,10,4,7,8,8,8,8
ACP3,8,27,9,18,6,23,28,22,14,22,22,16,18,7,37,22,18,29,31
ACRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTB,603,497,505,669,400,663,772,404,424,481,708,441,688,397,1071,717,380,837,796
ACTG1,1318,1157,830,1119,664,1238,1503,863,1031,1096,1169,854,1369,840,1368,925,689,735,996
ACTN4,28,22,26,50,17,39,37,34,23,31,56,26,46,27,50,26,22,41,51
ACTL6A,17,14,21,29,14,17,25,17,14,12,13,27,19,10,25,20,35,9,17
ACTN1,17,11,7,13,6,12,18,11,4,8,16,21,14,7,27,8,9,13,15
ACVR1,7,8,3,3,3,6,4,3,4,1,7,8,13,7,17,18,5,8,22
ACVR1B,23,18,20,17,9,25,40,17,27,22,23,30,26,14,40,20,27,11,28
ACVR2A,4,8,3,8,3,8,5,2,2,10,10,8,8,3,10,4,6,5,7
ACVR2B,30,20,10,23,10,29,37,11,10,9,21,35,63,32,54,27,35,16,54
ACVRL1,0,9,3,1,3,3,1,3,1,6,2,0,6,0,9,8,9,1,14
ACY1,4,0,0,2,0,3,4,0,0,2,1,0,1,1,0,1,4,0,0
ACYP1,8,19,12,21,8,15,30,16,12,13,26,26,24,10,20,16,12,12,24
ACYP2,0,1,0,2,0,1,2,5,1,0,0,4,0,1,3,1,1,5,0
ADA,13,17,12,23,11,14,14,9,16,14,16,22,24,10,10,4,11,7,15
ADAM8,0,2,0,0,0,3,2,1,4,1,1,3,3,0,4,3,9,9,5
ADAM10,101,86,60,118,63,180,119,77,69,76,87,108,186,85,284,166,130,96,238
ADAR,93,117,48,93,69,141,163,66,107,111,116,127,165,91,196,147,137,86,157
