GENE,MV411-DMSO_coculture_12h,MV411-VHL_coculture_12h,MV411-MYB-dTAG-DMSO_coculture_12h,MV411-MYB-dTAG-VHL_coculture_12h
NAT1,17.0,17.0,23.0,27.0
AAMP,7.0,10.0,6.5,14.0
AARS1,24.0,25.0,20.5,23.0
ABAT,4.0,6.0,7.5,10.0
ABCA1,9.0,12.0,5.0,5.0
ABCA2,1.0,3.0,1.0,1.0
ABCA3,0.0,0.0,0.5,0.0
ABCB7,1.0,0.0,1.5,0.0
ABCF1,28.0,31.0,29.5,35.0
ABL1,29.0,30.0,38.5,39.0
ABL2,55.0,65.0,53.5,82.0
ABR,47.0,57.0,38.0,71.0
ACAA1,12.0,19.0,15.5,17.0
ACACA,100.0,98.0,87.5,67.0
ACACB,3.0,3.0,6.0,3.0
ACADM,9.0,10.0,7.0,17.0
ACADS,0.0,0.0,1.0,1.0
ACADSB,21.0,24.0,29.5,28.0
ACADVL,3.0,6.0,2.0,4.0
ACAT1,7.0,5.0,10.5,6.0
ACAT2,24.0,27.0,8.0,14.0
ASIC1,4.0,3.0,4.5,1.0
ACLY,57.0,54.0,55.5,56.0
ACO1,1.0,1.0,2.5,3.0
ACO2,5.0,7.0,7.0,5.0
ACOX1,20.0,33.0,23.5,34.0
ACP1,83.0,99.0,117.0,127.0
ACP2,5.0,7.0,9.5,8.0
ACP3,9.0,22.0,17.0,29.0
ACRV1,0.0,0.0,0.0,0.0
ACTB,505.0,481.0,564.5,796.0
ACTG1,1119.0,1096.0,1011.5,925.0
ACTN4,26.0,34.0,36.5,41.0
ACTL6A,17.0,17.0,16.0,20.0
ACTN1,11.0,11.0,15.0,13.0
ACVR1,3.0,4.0,7.5,17.0
ACVR1B,18.0,25.0,24.5,27.0
ACVR2A,4.0,5.0,8.0,6.0
ACVR2B,20.0,11.0,33.5,35.0
ACVRL1,3.0,3.0,1.0,9.0
ACY1,0.0,2.0,1.0,0.0
ACYP1,12.0,15.0,25.0,16.0
ACYP2,0.0,1.0,0.5,1.0
ADA,13.0,14.0,19.0,10.0
ADAM8,0.0,2.0,2.0,5.0
ADAM10,86.0,77.0,97.5,166.0
ADAR,93.0,111.0,121.5,147.0
ADARB1,3.0,9.0,8.0,6.0
ADCY3,5.0,7.0,7.5,12.0
ADCY5,0.0,0.0,0.0,0.0
ADCY6,0.0,0.0,0.0,0.0
ADCY7,38.0,44.0,56.0,88.0
ADCY9,36.0,64.0,99.0,71.0
ADCYAP1R1,0.0,0.0,0.0,0.0
ADD1,22.0,26.0,30.0,57.0
ADD2,12.0,13.0,21.5,11.0
ADD3,14.0,26.0,22.5,27.0
PLIN2,27.0,32.0,2.0,2.0
