REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp702-MV411_DMSO-H3K27ac-r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam
36_MV411_DMSO_8h_2_702_R1_peak_10103_lociStitched	chr12	11704236	11863765	36	102204	107267.2996	17436.5197
28_MV411_DMSO_8h_2_702_R1_peak_4850_lociStitched	chr1	235818803	235972909	28	54602	90290.7054	15826.6862
27_MV411_DMSO_8h_2_702_R1_peak_31623_lociStitched	chr22	36328966	36474143	27	51749	61976.0613	16288.8594
33_MV411_DMSO_8h_2_702_R1_peak_21088_lociStitched	chr17	75292342	75429631	33	52008	60709.1958	14099.5803
31_MV411_DMSO_8h_2_702_R1_peak_35291_lociStitched	chr3	190503055	190632200	31	50983	60401.1165	12539.9795
25_MV411_DMSO_8h_2_702_R1_peak_28403_lociStitched	chr2	231596043	231718248	25	35280	72614.211	13112.5965
21_MV411_DMSO_8h_2_702_R1_peak_29042_lociStitched	chr20	10446722	10565579	21	29957	35229.2148	11576.6718
29_MV411_DMSO_8h_2_702_R1_peak_2152_lociStitched	chr1	89621159	89739897	29	65169	70744.1004	11303.8576
23_MV411_DMSO_8h_2_702_R1_peak_25522_lociStitched	chr2	43127733	43245713	23	43576	69903.15	13567.7
19_MV411_DMSO_8h_2_702_R1_peak_40088_lociStitched	chr6	7106244	7206126	19	73275	129507.0012	10987.02
20_MV411_DMSO_8h_2_702_R1_peak_37905_lociStitched	chr5	50628178	50727664	20	57953	115622.6292	7859.394
24_MV411_DMSO_8h_2_702_R1_peak_12630_lociStitched	chr13	28122027	28220454	24	22257	81320.3874	25148.0985
25_MV411_DMSO_8h_2_702_R1_peak_27317_lociStitched	chr2	159546998	159642359	25	62622	92414.3451	7905.4269
24_MV411_DMSO_8h_2_702_R1_peak_11605_lociStitched	chr12	104668402	104763653	24	37448	41396.0846	10944.3399
25_MV411_DMSO_8h_2_702_R1_peak_37371_lociStitched	chr5	354332	448941	25	68713	98308.2119	11362.5409
18_MV411_DMSO_8h_2_702_R1_peak_48125_lociStitched	chr9	27563787	27656954	18	34166	45670.4634	9195.5829
18_MV411_DMSO_8h_2_702_R1_peak_39267_lociStitched	chr5	148739478	148832288	18	28738	33077.484	9893.546
24_MV411_DMSO_8h_2_702_R1_peak_45817_lociStitched	chr8	27318095	27409661	24	37703	51826.356	14806.2222
21_MV411_DMSO_8h_2_702_R1_peak_34657_lociStitched	chr3	152241938	152333138	21	74449	114592.8	7961.76
26_MV411_DMSO_8h_2_702_R1_peak_12601_lociStitched	chr13	28020314	28108258	26	33787	84514.184	22839.0568
19_MV411_DMSO_8h_2_702_R1_peak_36434_lociStitched	chr4	83194601	83282120	19	19835	23008.7451	8988.2013
14_MV411_DMSO_8h_2_702_R1_peak_47661_lociStitched	chr8	141205469	141292209	14	18069	33750.534	15630.548
18_MV411_DMSO_8h_2_702_R1_peak_7847_lociStitched	chr11	35030068	35116205	18	29669	35764.0824	9190.8179
16_MV411_DMSO_8h_2_702_R1_peak_3927_lociStitched	chr1	198610549	198696095	16	24198	37511.921	7861.6774
18_MV411_DMSO_8h_2_702_R1_peak_41085_lociStitched	chr6	37160466	37245452	18	30240	37002.9044	8609.0818
11_MV411_DMSO_8h_2_702_R1_peak_47416_lociStitched	chr8	129474263	129557608	11	39965	69976.462	12685.109
23_MV411_DMSO_8h_2_702_R1_peak_32348_lociStitched	chr3	5122177	5205501	23	31214	45036.622	8240.7436
15_MV411_DMSO_8h_2_702_R1_peak_39188_lociStitched	chr5	143141392	143223960	15	10878	19568.616	9181.5616
26_MV411_DMSO_8h_2_702_R1_peak_22402_lociStitched	chr18	77052452	77134701	26	46419	74427.1201	11021.366
23_MV411_DMSO_8h_2_702_R1_peak_968_lociStitched	chr1	28096626	28177272	23	36910	38476.2066	8451.7008
16_MV411_DMSO_8h_2_702_R1_peak_12734_lociStitched	chr13	30673532	30752684	16	26658	51899.9664	18442.416
20_MV411_DMSO_8h_2_702_R1_peak_34930_lociStitched	chr3	172029087	172108138	20	29597	33659.9158	8071.1071
20_MV411_DMSO_8h_2_702_R1_peak_14254_lociStitched	chr14	75120805	75198801	20	26644	34404.0356	7916.594
24_MV411_DMSO_8h_2_702_R1_peak_8970_lociStitched	chr11	78284397	78361692	24	40401	45712.263	7288.9185
22_MV411_DMSO_8h_2_702_R1_peak_28589_lociStitched	chr2	239212416	239289700	22	29000	36508.9616	8138.0052
22_MV411_DMSO_8h_2_702_R1_peak_25381_lociStitched	chr2	38591477	38668537	22	34374	40379.44	8129.83
13_MV411_DMSO_8h_2_702_R1_peak_30112_lociStitched	chr20	53578399	53655026	13	31611	50106.3953	6996.0451
19_MV411_DMSO_8h_2_702_R1_peak_7778_lociStitched	chr11	33158713	33235163	19	19286	29532.635	6742.89
19_MV411_DMSO_8h_2_702_R1_peak_48463_lociStitched	chr9	77907747	77983443	19	20564	17659.8768	3027.84
20_MV411_DMSO_8h_2_702_R1_peak_36480_lociStitched	chr4	86907194	86982108	20	28805	28250.0694	7880.9528
18_MV411_DMSO_8h_2_702_R1_peak_33691_lociStitched	chr3	71511121	71585436	18	36619	60863.985	7126.8085
12_MV411_DMSO_8h_2_702_R1_peak_27188_lociStitched	chr2	144642890	144717205	12	58416	77978.7295	7320.0275
16_MV411_DMSO_8h_2_702_R1_peak_49188_lociStitched	chr9	114339939	114414085	16	29599	39349.2822	8719.5696
11_MV411_DMSO_8h_2_702_R1_peak_5170_lociStitched	chr10	7444668	7518752	11	33416	31996.8796	6141.5636
20_MV411_DMSO_8h_2_702_R1_peak_7071_lociStitched	chr10	124667655	124741707	20	20251	22563.6444	8812.188
16_MV411_DMSO_8h_2_702_R1_peak_21235_lociStitched	chr17	78282547	78356561	16	26740	37673.126	8570.8212
16_MV411_DMSO_8h_2_702_R1_peak_12937_lociStitched	chr13	40960744	41033693	16	39901	31725.5201	2881.4855
21_MV411_DMSO_8h_2_702_R1_peak_15623_lociStitched	chr15	55218015	55290962	21	49307	60093.7386	7199.8689
15_MV411_DMSO_8h_2_702_R1_peak_4785_lociStitched	chr1	234915715	234988068	15	41886	59394.5777	8993.4779
