GENE,mr371-MV411-IRF2BP2-dTAG-DMSO_3h-r1_tcount,mr372-MV411-IRF2BP2-dTAG-DMSO_3h-r2_tcount,mr373-MV411-IRF2BP2-dTAG-DMSO_3h-r3_tcount,mr374-MV411-IRF2BP2-dTAG-DMSO_3h-r4_tcount,mr375-MV411-IRF2BP2-dTAG-VHL_3h-r1_tcount,mr376-MV411-IRF2BP2-dTAG-VHL_3h-r2_tcount,mr377-MV411-IRF2BP2-dTAG-VHL_3h-r3_tcount,mr378-MV411-IRF2BP2-dTAG-VHL_3h-r4_tcount,mr379-MV411-IRF2BP2-dTAG-DMSO_6h-r1_tcount,mr380-MV411-IRF2BP2-dTAG-DMSO_6h-r2_tcount,mr381-MV411-IRF2BP2-dTAG-DMSO_6h-r3_tcount,mr382-MV411-IRF2BP2-dTAG-DMSO_6h-r4_tcount,mr383-MV411-IRF2BP2-dTAG-VHL_6h-r1_tcount,mr384-MV411-IRF2BP2-dTAG-VHL_6h-r2_tcount,mr385-MV411-IRF2BP2-dTAG-VHL_6h-r3_tcount,mr386-MV411-IRF2BP2-dTAG-VHL_6h-r4_tcount
NAT1,30,17,7,2,7,1,1,1,0,0,0,1,2,0,2,1
AAMP,49,39,15,10,10,13,19,2,8,14,6,2,2,9,16,7
AARS1,58,29,22,19,5,15,15,5,7,17,7,15,13,8,26,4
ABAT,4,4,1,5,0,1,2,0,0,0,1,2,0,0,2,0
ABCA1,30,19,9,5,3,4,5,2,1,1,1,4,2,0,2,0
ABCA2,26,9,8,3,1,9,7,2,4,10,1,3,2,4,2,1
ABCA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,1,5,0,0,2,0,0,1,0,0,0,0,0,0,1,0
ABCF1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
ABL1,248,186,90,61,50,63,50,37,49,49,27,20,23,15,43,10
AOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL2,319,195,95,49,34,38,38,21,40,19,12,23,15,21,31,16
ABR,45,35,16,10,14,12,17,6,6,8,4,5,3,4,9,2
ACAA1,40,41,18,20,7,10,10,11,2,16,5,8,2,6,10,4
ACACB,4,9,2,0,1,2,1,0,0,0,0,1,0,0,1,0
ACADM,15,10,2,1,1,1,1,3,2,6,1,2,3,1,0,0
ACADS,3,4,1,4,0,2,0,0,0,0,1,0,2,1,2,1
ACADSB,37,26,11,7,4,5,6,6,6,2,3,3,0,4,9,5
