GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
NAT1,143.75,74.0,137.5,83.75
AAMP,1143.0,744.75,1137.0,965.5
AARS1,1734.75,1264.0,1055.75,873.0
ABAT,79.25,45.0,54.75,38.0
ABCA1,246.25,181.0,106.0,32.75
ABCA2,406.75,260.5,374.75,292.5
ABCA3,1.75,0.75,1.75,0.75
ABCB7,74.0,52.5,46.75,37.25
ABCF1,3.0,2.0,2.25,1.0
ABL1,1621.25,980.75,1467.5,928.0
AOC1,3.5,4.25,5.5,4.75
ABL2,1036.25,620.75,820.25,580.5
ABR,103.0,69.25,68.0,34.5
ACAA1,1038.0,706.5,918.0,717.75
ACACB,38.5,20.5,41.0,21.5
ACADM,1087.25,611.0,457.25,411.5
ACADS,67.5,46.0,75.5,51.75
ACADSB,1209.25,898.5,816.0,711.75
ACADVL,578.75,412.25,612.25,539.75
ACAT1,455.25,361.75,442.75,419.0
ACAT2,3200.25,2740.25,3602.75,3582.75
ASIC1,202.0,108.75,74.25,73.25
ACLY,4506.5,3120.5,4261.75,4467.5
ACO1,322.0,224.75,317.0,250.5
ACO2,1007.25,674.25,903.75,719.0
ACOX1,1106.25,738.0,1179.75,924.0
ACP1,2462.75,1968.25,2261.75,1927.25
ACP2,108.25,64.0,89.0,59.25
ACP3,2221.25,1753.25,1750.5,1501.25
ACRV1,5.0,2.75,3.0,2.5
ACTA1,3.0,0.75,2.0,1.25
ACTB,117097.5,76576.75,98709.0,85630.75
ACTG1,144086.0,100735.0,95284.5,76832.0
ACTN4,6660.25,4168.75,5376.75,5264.75
ACTL6A,1722.25,1244.75,1524.25,1224.5
ACTN1,5860.75,3541.75,2923.0,2136.0
ACTN2,2.75,0.75,6.0,5.5
ACVR1,136.75,101.25,165.25,146.25
ACVR1B,633.0,370.5,364.75,233.25
ACVR2A,80.25,43.75,50.5,39.5
ACVR2B,257.75,140.75,220.75,126.25
ACVRL1,142.75,100.5,66.0,42.75
ACY1,157.5,123.25,163.0,155.75
ACYP1,403.0,285.25,422.75,290.0
ACYP2,98.25,85.75,89.0,79.25
ADA,2694.0,2127.5,1669.75,1285.75
ADAM8,59.25,28.0,64.75,50.0
ADAM10,8154.5,5459.5,5079.25,4198.75
ADAR,7849.25,5379.75,6561.25,5898.25
ADARB1,791.0,459.5,514.75,415.25
ADCY1,29.25,15.25,25.75,25.5
ADCY3,1650.0,1069.25,1870.0,1307.0
ADCY5,17.0,9.0,11.5,9.5
ADCY6,4.25,3.0,1.25,0.0
ADCY7,3261.25,2142.75,2535.25,1825.75
ADCY9,1237.5,939.75,815.0,634.5
ADD1,3795.75,2272.25,2441.0,1777.75
ADD2,3283.0,2245.5,1724.5,1362.75
ADD3,1840.75,1384.0,712.5,643.5
PLIN2,156.5,145.25,179.5,169.75
ADH5,1391.5,989.5,1117.0,913.75
ADH6,2.25,0.75,4.25,3.5
ADK,436.5,321.0,367.0,297.75
ADM,2.25,3.0,2.5,1.25
ADORA2A,12.75,6.5,8.5,6.25
ADORA2B,353.0,273.75,485.5,450.5
ADORA3,3.5,2.25,4.25,5.5
ADPRH,179.25,129.5,139.75,155.25
PARP1,2748.5,1966.0,2499.75,2430.5
PARP4,97.0,62.75,96.25,69.5
ADRA1D,10.0,5.25,2.0,1.0
ADRA2C,3.25,1.75,2.75,2.75
ADRB1,8.25,4.25,4.25,1.0
ADRB2,21.25,39.5,40.25,69.0
GRK2,3613.75,2200.25,2479.75,1901.5
GRK3,3541.0,2267.0,2161.0,1561.75
ADSL,411.0,251.75,312.75,230.25
ADSS2,2044.0,1453.25,2050.0,1716.25
AP2A1,680.75,482.25,640.25,585.0
AP2A2,144.25,107.25,117.5,88.25
AP1B1,880.75,562.5,796.75,659.5
AP2B1,5638.75,4018.0,4575.5,3600.25
AP1G1,5352.75,3583.75,4809.25,3616.0
AEBP1,3.0,1.0,0.0,1.0
TLE5,134.0,86.75,60.25,44.0
AFG3L1P,885.75,561.0,781.75,617.25
AGA,817.25,620.5,471.0,391.25
AGL,363.5,207.25,248.5,195.0
JAG1,23.75,12.5,33.25,21.5
AGT,322.25,251.75,198.75,168.25
AHCY,3814.5,2903.5,3789.75,3268.0
AHR,1833.75,1421.75,1487.75,1271.0
AIF1,2.25,0.5,1.25,0.0
CRYBG1,1171.5,878.75,1158.5,797.0
AK1,26.0,13.25,9.5,8.75
AK2,21143.75,15209.75,15765.5,12946.25
AK4,278.5,217.5,5.75,3.75
AKT1,3422.0,2230.75,2802.5,2132.0
AKT2,2606.5,1552.25,1835.25,1383.75
ALAD,1926.5,1274.25,1484.75,933.25
ALAS1,80.5,49.75,74.0,57.75
