GENE,VHL_3h,DMSO_3h,VHL_6h,DMSO_6h
NAT1,77.0,130.5,88.5,142.5
AAMP,800.5,1048.0,988.5,1008.0
AARS1,1358.0,1619.5,800.5,972.5
ABAT,46.0,74.0,36.5,50.0
ABCA1,190.5,235.0,36.5,99.0
ABCA2,264.0,391.0,285.0,361.5
ABCA3,0.5,1.0,0.5,2.0
ABCB7,52.0,65.5,38.0,49.0
ABCF1,1.5,3.0,0.5,2.5
ABL1,1028.5,1547.5,827.0,1367.5
AOC1,4.5,4.0,5.0,5.5
ABL2,674.0,991.0,555.0,818.0
ABR,80.5,106.0,33.5,59.0
ACAA1,759.5,954.5,717.0,827.0
ACACB,22.0,41.0,22.0,39.0
ACADM,602.5,934.5,443.0,470.5
ACADS,47.0,64.5,50.5,68.5
ACADSB,954.5,1147.5,738.5,791.5
ACADVL,441.5,532.0,506.0,573.5
ACAT1,388.0,427.5,348.0,410.0
ACAT2,2742.0,3104.0,3307.5,3751.5
ASIC1,109.0,191.0,69.0,68.0
ACLY,3403.0,4074.0,4058.0,3985.5
ACO1,250.0,283.0,243.0,313.5
ACO2,708.0,940.5,720.5,831.0
ACOX1,791.0,1033.0,934.0,1112.5
ACP1,2175.5,2345.5,1870.0,2134.5
ACP2,58.0,111.0,60.5,80.0
ACP3,1890.0,2094.0,1502.0,1628.0
ACRV1,3.0,5.0,1.5,3.5
ACTA1,0.5,3.0,1.0,1.5
ACTB,84079.5,105298.0,76114.5,90088.5
ACTG1,106919.5,133991.0,77063.0,89804.5
ACTN4,4510.5,6164.5,4840.0,5025.5
ACTL6A,1361.0,1578.0,1159.0,1424.5
ACTN1,3815.0,5389.5,1950.0,2660.0
ACTN2,1.0,2.5,5.0,6.5
ACVR1,108.5,135.0,151.0,154.5
ACVR1B,396.0,607.5,207.0,349.0
ACVR2A,44.5,83.0,38.5,53.5
ACVR2B,139.0,247.5,137.5,211.5
ACVRL1,100.5,130.5,41.5,69.5
ACY1,136.5,145.0,148.0,160.0
ACYP1,305.5,368.0,269.5,397.5
ACYP2,91.0,97.5,80.0,88.0
ADA,2224.0,2546.0,1271.5,1547.0
ADAM8,24.5,59.5,48.5,64.0
ADAM10,5757.0,7619.5,4126.0,4908.0
ADAR,5650.5,7386.5,5573.5,6150.5
ADARB1,491.5,792.5,436.5,483.0
ADCY1,12.5,29.5,24.0,24.5
ADCY3,1142.5,1501.5,1298.5,1705.0
ADCY5,9.0,16.0,6.5,11.5
ADCY6,3.0,4.5,0.0,1.5
ADCY7,2311.0,3152.0,1836.5,2413.0
ADCY9,951.5,1188.0,564.5,734.5
ADD1,2374.5,3548.0,1689.5,2237.5
ADD2,2320.0,3155.5,1327.5,1651.5
ADD3,1470.0,1694.0,648.5,724.5
PLIN2,155.5,150.5,177.0,167.5
ADH5,1080.5,1267.0,913.0,1071.5
ADH6,0.5,2.5,2.5,4.5
ADK,348.5,392.5,275.5,347.5
ADM,3.0,2.0,1.0,2.5
ADORA2A,6.0,12.5,6.5,7.0
ADORA2B,301.5,325.0,441.5,444.5
ADORA3,2.0,3.0,6.0,3.0
ADPRH,130.5,161.0,150.5,133.5
PARP1,2183.5,2514.0,2105.5,2369.5
PARP4,65.0,86.5,64.0,87.5
ADRA1D,3.5,10.0,1.0,1.5
ADRA2C,1.0,3.5,3.5,3.0
ADRB1,4.0,8.0,1.0,4.0
ADRB2,40.0,21.0,63.5,38.0
GRK2,2291.5,3458.5,1758.5,2265.0
GRK3,2438.5,3422.5,1580.0,2017.5
ADSL,260.5,381.5,227.0,292.5
ADSS2,1554.5,1839.5,1658.5,1924.5
AP2A1,506.5,638.5,549.5,599.5
AP2A2,111.0,144.5,83.5,101.5
AP1B1,580.0,805.0,670.0,722.5
AP2B1,4296.5,5278.0,3465.0,4374.5
AP1G1,3904.0,5056.5,3701.0,4539.0
AEBP1,1.0,3.5,0.0,0.0
TLE5,90.0,130.5,45.5,54.0
AFG3L1P,607.5,874.0,601.0,719.5
AGA,670.5,759.5,405.0,436.5
AGL,207.0,328.0,203.0,264.0
JAG1,12.5,19.0,22.0,32.0
AGT,269.5,298.0,150.5,199.5
AHCY,3115.5,3613.5,2949.0,3435.5
AHR,1501.5,1660.0,1279.0,1441.0
AIF1,0.5,2.0,0.0,1.5
CRYBG1,960.5,1073.5,827.5,1099.0
AK1,13.5,24.5,9.0,8.5
AK2,16676.0,19746.5,13054.5,14794.5
AK4,237.5,259.0,3.5,6.0
AKT1,2348.0,3287.5,2057.5,2582.0
AKT2,1590.5,2548.5,1273.5,1658.5
ALAD,1333.5,1878.5,887.5,1377.5
ALAS1,50.5,66.0,55.0,65.5
ALCAM,1254.0,1547.5,2036.5,2500.5
ABCD1,391.5,553.5,216.0,301.5
ALDH2,4.0,11.0,6.0,9.5
ALDH1B1,916.0,1205.0,983.5,1238.5
ALDH1A3,838.5,1267.0,1122.5,2284.0
ALDH3B1,244.0,317.0,121.5,185.5
ALDH9A1,1237.0,1419.5,947.5,1270.0
ALDH3A2,352.5,456.0,337.0,422.0
ABCD2,236.0,295.5,104.5,142.0
ALDOA,7944.5,8971.0,6070.5,6461.5
ALDOB,1.0,5.0,2.0,3.5
ALDOC,548.5,656.0,101.5,104.0
AKR1B1,608.0,638.0,378.0,465.0
ALOX12,136.5,157.0,40.5,60.0
ALOX5AP,3034.5,3462.0,2354.0,2949.0
ALOX15,12.5,19.0,4.5,6.5
ALX3,12.0,30.5,11.0,26.0
AMD1,4322.0,5126.5,2975.5,3646.5
AMFR,656.5,838.5,575.5,758.0
AMH,6.5,11.5,6.0,6.0
AMPD2,264.0,366.0,228.5,234.5
AMPD3,54.5,71.5,34.0,76.0
BIN1,3.5,6.0,9.5,8.5
AMT,109.0,147.5,56.0,59.5
ANG,2.0,2.0,0.5,1.0
ANGPT1,163.5,209.5,23.0,25.0
ANGPT2,14.5,17.0,13.0,17.5
ANK2,80.0,105.5,25.5,27.5
ANK3,1.5,2.0,0.5,1.0
SLC25A4,41.0,55.5,41.5,28.5
SLC25A5,3282.5,4008.0,2948.0,3598.5
SLC25A6,6146.0,8138.5,5032.0,5787.5
ANXA1,142.0,146.5,297.0,276.5
ANXA2,381.0,438.0,414.0,518.5
303,2.5,1.5,0.0,2.0
ANXA4,290.0,332.5,293.0,283.5
ANXA5,59.0,70.5,75.0,84.5
ANXA6,367.5,449.5,356.5,476.0
ANXA7,560.0,714.0,771.0,973.5
ANXA11,1084.0,1332.5,962.5,1155.5
AOAH,20.0,25.5,8.0,11.0
AOC2,3.5,12.5,4.0,4.5
APAF1,868.0,1297.0,701.5,1314.0
NUDT2,92.5,120.0,87.0,114.0
APBB1,568.0,768.0,125.0,235.5
APBB2,7.5,9.0,3.5,8.5
APC,97.5,143.5,117.5,167.0
APEH,232.5,294.5,284.5,313.0
APEX1,2433.0,2715.0,1922.5,2580.0
BIRC2,86.5,120.0,88.0,120.0
BIRC3,0.0,0.5,0.5,4.0
XIAP,1605.0,2115.0,1377.0,1514.5
BIRC5,3728.5,4626.5,4438.0,5487.5
APLP1,23.5,23.5,13.5,21.0
APLP2,3431.0,4274.5,3185.0,3696.5
APOA1,8.0,9.5,3.0,7.5
APOC1,217.5,256.0,250.5,244.5
APOC2,3717.0,4015.0,3932.0,4127.5
APP,1107.5,1462.5,805.0,898.5
APRT,1583.5,1730.0,1651.5,1814.0
FAS,32.5,37.0,29.0,33.5
AQP1,177.5,220.0,104.0,103.5
AQP3,174.5,278.0,301.5,401.5
AQP6,0.5,3.5,0.5,0.0
AR,38.5,38.0,12.5,14.0
ARAF,394.5,502.0,309.5,435.5
ARCN1,6716.0,8421.5,4846.5,6476.5
TRIM23,91.0,127.5,108.0,161.0
ARF1,9984.5,11924.0,9499.0,11062.0
ARF3,9819.0,15145.5,5958.0,8142.0
ARF4,2446.5,3291.0,2540.5,2695.5
ARL4D,4.5,8.5,5.0,13.0
ARF5,428.5,615.5,444.5,516.0
ARF6,5663.5,6135.5,5411.5,5611.0
ARG2,564.0,617.5,460.5,550.0
RHOA,23259.0,25377.0,17999.0,20446.5
RHOB,89.0,163.0,70.0,104.0
RHOC,274.0,325.5,177.0,170.5
RND3,1.5,3.5,4.0,7.5
RHOG,1170.5,1626.0,931.5,1051.0
ARHGAP1,1573.5,2167.0,1086.0,1605.5
ARHGAP4,369.0,427.0,265.5,273.5
ARHGAP5,120.0,168.5,62.0,101.0
ARHGDIA,7854.5,11076.5,5641.5,7847.5
ARHGDIB,14910.0,18319.5,17894.0,21818.5
RHOH,40.0,81.5,48.5,91.0
ARL1,1401.0,1626.0,1134.0,1408.5
PHOX2A,1.0,3.5,2.0,1.5
ARL2,161.0,197.5,170.5,216.0
ARL3,133.5,179.0,102.0,113.5
ARNT,948.0,1140.0,694.0,997.5
ARNTL,44.5,57.0,50.5,85.0
ARRB1,2436.0,3841.0,1442.0,2059.0
ARRB2,1453.5,1987.0,1189.5,1177.5
ARSA,94.5,125.0,83.0,107.5
ARSB,1392.0,1782.0,2078.0,2705.5
STS,582.0,724.0,481.5,569.0
ARSD,31.0,47.5,170.5,195.5
ARVCF,7.5,12.5,7.5,9.5
ASAH1,768.0,967.5,668.5,811.0
ASCL2,30.5,43.0,21.0,26.0
ASGR2,40.5,62.5,17.5,17.0
ASIP,2.0,1.5,0.5,0.5
ASL,12.0,17.0,9.5,12.0
GET3,311.5,359.0,351.0,423.0
ASNS,517.5,697.5,205.0,204.5
ASPH,849.5,1187.5,583.5,766.0
ASS1,1068.0,1288.0,431.5,453.0
ZFHX3,39.5,67.0,84.0,124.0
ATF1,623.0,738.5,586.5,708.0
ATF3,348.5,275.0,468.0,290.0
ATF4,565.5,686.5,855.0,869.5
ATIC,342.0,411.0,332.5,389.0
ATM,1188.5,1579.5,990.5,1140.5
RERE,445.5,725.0,311.0,467.0
ATOX1,151.5,204.5,208.0,215.0
ATP1A1,987.0,1190.5,1022.0,1094.0
ATP1A2,2.0,7.0,2.0,3.0
ATP1A3,352.5,515.5,265.0,286.0
ATP1B1,50.5,57.5,35.0,59.5
ATP1B3,2843.0,3184.5,3040.0,3796.5
ATP2A1,21.5,33.0,30.5,19.5
ATP2A2,3552.0,5131.0,2815.5,3387.5
ATP2A3,2287.5,3066.0,1731.5,2016.5
ATP2B1,792.5,880.5,613.5,722.5
ATP2B2,34.5,48.5,49.5,62.0
ATP2B3,57.5,87.5,15.5,14.5
ATP2B4,7364.5,9528.0,4339.0,4693.5
ATP5F1A,741.0,1161.5,761.0,835.5
ATP5F1B,1427.5,1713.0,1337.5,1577.5
ATP5F1C,93.5,185.5,89.5,130.0
ATP5F1D,552.0,614.0,652.0,638.5
ATP5F1E,1010.0,1099.5,1102.5,1366.0
ATP5PB,1322.5,1506.5,1219.5,1456.5
ATP5MC1,150.5,166.5,182.5,200.5
ATP5MC2,1952.5,2360.5,1650.0,1761.5
ATP5MC3,1411.0,1696.0,1275.0,1459.0
ATP5ME,1019.0,1072.0,1196.0,1238.5
ATP5PF,304.0,420.5,319.5,369.5
