GENE,VHL_3h,DMSO_3h,VHL_6h,DMSO_6h
NAT1,1.0,12.0,1.5,0.0
AAMP,11.5,27.0,8.0,7.0
AARS1,10.0,25.5,10.5,11.0
ABAT,0.5,4.0,0.0,0.5
ABCA1,3.5,14.0,1.0,1.0
ABCA2,4.5,8.5,2.0,3.5
ABCA3,0.0,0.0,0.0,0.0
ABCB7,0.5,0.5,0.0,0.0
ABCF1,0.0,1.0,0.0,0.0
ABL1,50.0,138.0,19.0,38.0
AOC1,0.0,0.0,0.0,0.0
ABL2,36.0,145.0,18.5,21.0
ABR,13.0,25.5,3.5,5.5
ACAA1,10.0,30.0,5.0,6.5
ACACB,1.0,3.0,0.0,0.0
ACADM,1.0,6.0,0.5,2.0
ACADS,0.0,3.5,1.5,0.0
ACADSB,5.5,18.5,4.5,3.0
ACADVL,3.0,5.5,2.5,2.0
ACAT1,1.0,8.0,1.5,2.0
ACAT2,2.0,4.5,3.0,1.5
ASIC1,2.5,2.0,3.0,0.0
ACLY,29.0,107.0,19.0,17.0
ACO1,2.0,3.0,0.0,1.5
ACO2,3.0,8.5,2.5,2.0
ACOX1,8.0,38.5,7.0,10.0
ACP1,36.0,115.0,20.0,18.0
ACP2,4.0,11.0,0.0,4.0
ACP3,14.5,38.5,5.0,10.5
ACRV1,0.0,0.0,0.0,0.0
ACTA1,0.0,0.0,0.0,0.0
ACTB,560.5,1797.5,279.0,423.0
ACTG1,1385.5,3174.0,570.5,855.5
ACTN4,65.0,165.5,29.5,25.0
ACTL6A,7.0,38.5,4.0,3.0
ACTN1,22.0,94.0,8.0,14.5
ACTN2,0.0,0.5,0.0,0.0
ACVR1,2.0,10.0,2.5,2.0
ACVR1B,17.0,66.0,3.0,10.0
ACVR2A,1.0,5.5,0.5,1.5
ACVR2B,14.5,51.5,10.5,9.5
ACVRL1,0.0,2.5,0.5,0.5
ACY1,0.0,1.0,0.5,0.5
ACYP1,5.5,25.0,4.0,4.5
ACYP2,0.5,1.5,0.5,0.0
ADA,22.0,36.5,6.5,7.5
ADAM8,2.5,4.5,3.0,2.5
ADAM10,32.5,147.5,27.0,22.0
ADAR,79.0,276.5,50.5,48.0
ADARB1,6.5,36.5,2.5,5.0
ADCY1,0.5,1.0,0.0,0.0
ADCY3,17.5,56.5,8.5,12.5
ADCY5,0.0,0.5,0.0,0.0
ADCY6,0.0,0.0,0.0,0.0
ADCY7,43.0,181.0,14.0,15.0
ADCY9,81.0,168.5,37.0,38.5
ADD1,30.5,101.0,14.0,19.0
ADD2,27.0,84.0,16.0,10.5
ADD3,8.0,29.5,6.5,3.0
PLIN2,4.0,7.0,1.5,1.5
ADH5,7.0,35.0,7.0,6.0
ADH6,0.0,0.0,0.0,0.0
ADK,1.5,4.5,0.5,2.0
ADM,1.0,0.5,0.5,0.5
ADORA2A,1.0,2.0,0.0,0.0
ADORA2B,20.0,39.5,19.0,13.0
ADORA3,0.0,0.0,0.0,0.0
ADPRH,0.5,5.0,1.5,0.5
PARP1,10.5,46.0,9.0,10.0
PARP4,1.0,1.5,0.5,0.5
ADRA1D,0.0,0.0,0.0,0.0
ADRA2C,0.0,0.5,0.0,0.0
ADRB1,0.5,2.5,0.0,0.0
ADRB2,10.0,7.0,9.5,6.0
GRK2,61.0,148.0,20.5,20.5
GRK3,52.5,249.0,26.0,34.5
ADSL,0.5,13.0,2.0,0.5
ADSS2,5.5,30.5,4.5,3.5
AP2A1,4.0,9.5,2.5,0.5
AP2A2,3.0,5.0,1.5,1.0
AP1B1,9.0,28.0,4.5,5.5
AP2B1,46.0,123.5,27.0,33.5
AP1G1,71.0,273.0,28.5,38.0
AEBP1,0.0,0.0,0.0,0.0
TLE5,1.0,2.0,0.5,0.0
AFG3L1P,28.5,81.0,18.0,13.0
AGA,3.0,10.5,2.5,1.5
AGL,1.5,8.0,0.0,2.0
JAG1,0.5,2.0,2.0,1.0
AGT,1.0,2.5,2.0,1.0
AHCY,18.0,60.5,14.0,12.5
AHR,48.5,153.0,39.5,35.0
AIF1,0.0,0.0,0.0,0.0
CRYBG1,18.0,52.5,13.5,11.5
AK1,0.0,0.0,0.0,0.0
AK2,102.5,389.5,45.0,50.5
AK4,0.0,0.0,0.0,0.0
AKT1,24.5,75.0,11.5,10.5
AKT2,21.5,69.0,11.0,7.5
ALAD,12.5,54.5,8.0,10.5
ALAS1,2.5,6.0,1.0,2.0
ALCAM,7.0,38.0,3.5,14.5
ABCD1,5.0,15.0,1.0,0.5
ALDH2,0.0,1.0,0.0,0.0
ALDH1B1,33.0,89.5,18.0,24.5
ALDH1A3,36.5,163.5,18.5,26.0
ALDH3B1,4.0,7.0,3.0,2.5
ALDH9A1,11.5,52.5,3.0,14.5
ALDH3A2,4.5,20.0,3.0,3.0
ABCD2,2.5,6.0,2.5,0.5
ALDOA,50.0,131.0,39.0,48.0
ALDOB,0.0,0.0,0.0,0.0
ALDOC,1.5,3.5,0.5,0.5
AKR1B1,2.0,7.5,3.0,3.0
ALOX12,2.5,5.0,0.5,1.5
ALOX5AP,4.5,31.5,8.0,10.5
ALOX15,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0
AMD1,114.0,347.5,58.0,60.0
AMFR,10.5,36.5,7.0,9.0
AMH,0.0,0.0,0.0,0.0
AMPD2,10.0,27.0,4.0,6.0
AMPD3,0.0,2.5,0.0,0.0
BIN1,0.0,0.0,0.0,0.0
AMT,0.5,2.0,0.0,0.0
ANG,0.0,0.0,0.0,0.0
ANGPT1,3.0,4.0,0.0,0.0
ANGPT2,0.0,0.0,0.0,0.0
ANK2,3.0,6.5,0.5,2.0
ANK3,0.0,0.0,0.0,0.0
SLC25A4,0.0,0.0,0.0,0.0
SLC25A5,19.0,74.5,14.0,20.0
SLC25A6,95.5,238.0,48.5,63.0
ANXA1,1.5,1.0,1.0,1.0
ANXA2,7.0,12.5,2.5,1.5
303,0.0,0.0,0.0,0.0
ANXA4,0.0,2.0,1.0,0.5
ANXA5,1.0,3.0,0.5,0.0
ANXA6,1.0,3.0,0.5,1.5
ANXA7,2.0,14.0,3.5,3.0
ANXA11,14.0,38.0,7.5,8.5
AOAH,0.5,1.5,0.0,0.0
AOC2,0.0,1.0,0.0,0.0
APAF1,16.5,85.0,6.0,15.0
NUDT2,2.0,9.0,1.0,1.0
APBB1,3.0,14.0,1.5,3.0
APBB2,0.0,0.5,0.0,0.0
APC,4.0,29.0,4.0,4.0
APEH,1.5,9.5,1.0,1.0
APEX1,32.0,97.5,21.0,23.0
BIRC2,2.0,7.0,1.0,1.5
BIRC3,0.0,0.0,0.0,0.0
XIAP,30.5,112.0,14.5,18.0
BIRC5,47.5,169.5,24.5,35.5
APLP1,0.0,0.0,0.0,0.0
APLP2,18.0,51.0,7.0,10.0
APOA1,0.0,0.0,0.5,0.0
APOC1,1.5,1.0,0.5,2.0
APOC2,24.5,60.0,12.5,13.5
APP,1.5,17.5,1.5,1.5
APRT,7.5,18.5,6.5,3.5
FAS,0.5,3.0,1.0,0.0
AQP1,3.5,15.5,3.0,1.0
AQP3,2.0,15.5,1.0,3.0
AQP6,0.0,0.0,0.0,0.0
AR,1.0,0.5,0.0,0.0
ARAF,12.0,29.0,8.5,5.0
ARCN1,92.0,351.0,37.5,52.5
TRIM23,5.5,15.5,3.0,1.0
ARF1,209.0,485.5,87.0,107.0
