,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
A1BG,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
NAT1,18.666666666666668,0.0,6.0,2.0,12.666666666666666
AAMP,45.333333333333336,11.0,41.666666666666664,3.5,46.333333333333336
AARS1,10.666666666666666,9.666666666666666,3.0,2.0,7.5
ABAT,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666
ABCA1,19.0,2.0,3.0,2.0,4.0
ABCA2,0.0,0.3333333333333333,2.0,0.5,0.3333333333333333
ABCA3,2.0,0.0,0.0,0.0,0.0
ABCB7,9.0,3.3333333333333335,3.3333333333333335,0.0,3.1666666666666665
ABCF1,48.666666666666664,18.0,23.0,0.0,38.0
ABL1,36.0,7.0,18.333333333333332,8.5,17.0
ABL2,9.333333333333334,2.3333333333333335,6.666666666666667,4.5,1.3333333333333333
ABR,26.0,11.0,12.0,4.0,20.666666666666668
ACAA1,10.333333333333334,1.0,2.6666666666666665,2.0,5.333333333333333
ACACA,24.333333333333332,17.333333333333332,17.333333333333332,4.5,19.333333333333332
ACACB,0.6666666666666666,1.3333333333333333,0.0,0.5,4.5
ACADM,11.333333333333334,1.3333333333333333,2.3333333333333335,5.5,7.0
ACADS,8.333333333333334,2.3333333333333335,6.0,1.5,7.333333333333333
ACADSB,2.0,5.666666666666667,1.0,0.0,6.333333333333333
ACADVL,4.666666666666667,0.3333333333333333,0.0,0.0,3.3333333333333335
ACAT1,6.0,1.0,7.666666666666667,3.0,5.0
ACAT2,47.333333333333336,10.666666666666666,19.0,0.0,27.5
ACLY,40.0,15.0,23.0,14.0,33.5
ACO1,3.3333333333333335,0.0,2.0,1.5,0.6666666666666666
ACO2,57.666666666666664,27.666666666666668,39.333333333333336,18.5,34.833333333333336
ACOX1,9.0,5.0,1.6666666666666667,0.5,7.666666666666667
ACP1,29.666666666666668,8.333333333333334,15.666666666666666,2.0,20.833333333333332
ACP2,7.666666666666667,1.6666666666666667,2.6666666666666665,0.0,3.1666666666666665
ACPP,5.333333333333333,0.0,1.6666666666666667,0.0,0.6666666666666666
ACTB,390.6666666666667,211.33333333333334,285.3333333333333,42.5,389.6666666666667
ACTG1,435.0,309.0,281.3333333333333,14.0,703.6666666666666
ACTN4,216.66666666666666,207.0,203.0,79.5,221.83333333333334
ACTL6A,12.0,4.666666666666667,10.666666666666666,1.5,8.5
ACTN1,73.0,24.0,60.333333333333336,17.5,38.833333333333336
ACVR1,1.0,2.6666666666666665,0.0,1.5,2.6666666666666665
ACVR1B,30.333333333333332,4.0,6.333333333333333,3.5,12.333333333333334
ACVR2A,1.3333333333333333,0.6666666666666666,0.0,0.0,1.8333333333333333
ACVR2B,8.333333333333334,0.0,2.3333333333333335,1.0,1.5
ACY1,0.3333333333333333,0.0,0.6666666666666666,0.0,0.16666666666666666
ACYP1,4.333333333333333,0.3333333333333333,2.6666666666666665,1.0,4.166666666666667
ACYP2,0.0,0.0,1.6666666666666667,0.0,1.3333333333333333
ADA,3.0,0.0,4.0,2.0,0.8333333333333334
ADAM8,16.666666666666668,9.666666666666666,4.333333333333333,0.5,11.166666666666666
ADAM10,5.0,4.333333333333333,4.0,0.0,3.6666666666666665
ADAR,48.333333333333336,14.666666666666666,36.0,6.0,26.166666666666668
ADARB1,3.0,3.6666666666666665,1.0,2.0,3.5
ADCY3,4.666666666666667,1.3333333333333333,8.0,5.0,3.1666666666666665
