Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R1_001	20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47479320.0	0.0	150.0	42.0	81.66956143815582	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R2_001	20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47479320.0	0.0	150.0	42.0	83.40035244145496	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R1_001	20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36061579.0	0.0	150.0	45.0	71.36770479086331	150.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R2_001	20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36061579.0	0.0	150.0	45.0	73.37460548243791	150.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass
20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R1_001	20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44336379.0	0.0	150.0	42.0	74.82288491256894	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R2_001	20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44336379.0	0.0	150.0	41.0	76.60116989936678	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R1_001	20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45284856.0	0.0	150.0	44.0	84.8698889402184	150.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R2_001	20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45284856.0	0.0	150.0	44.0	85.5784633031206	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R1_001	20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47286882.0	0.0	150.0	42.0	54.91687951619457	150.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass
20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R2_001	20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47286882.0	0.0	150.0	42.0	56.53502199915448	150.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass
