GENE,VHL_6h,VHL_3h,DMSO_3h,DMSO_6h
NAT1,1.5,1.0,12.0,0.0
AAMP,8.0,11.5,27.0,7.0
AARS1,10.5,10.0,25.5,11.0
ABAT,0.0,0.5,4.0,0.5
ABCA1,1.0,3.5,14.0,1.0
ABCA2,2.5,4.5,8.5,3.5
ABCA3,0.0,0.0,0.0,0.0
ABCB7,0.0,0.5,0.5,0.0
ABCF1,25.5,38.0,131.5,20.5
ABL1,19.0,50.0,138.0,38.0
AOC1,0.0,0.0,0.0,0.0
ABL2,18.5,36.0,145.0,21.0
ABR,31.5,96.0,287.0,32.0
ACAA1,5.0,10.5,30.0,6.5
ACACA,17.5,18.5,66.0,20.0
ACACB,0.0,1.0,3.0,0.0
ACADM,0.5,1.0,6.0,2.0
ACADS,1.5,0.0,3.5,0.0
ACADSB,4.5,5.5,18.5,3.0
ACADVL,2.5,3.0,5.5,2.0
ACAT1,1.5,1.0,8.0,2.0
ACAT2,3.0,2.0,4.5,1.5
ASIC1,3.0,2.5,2.0,0.0
ACLY,19.5,29.0,107.5,17.0
ACO1,0.0,2.0,3.0,1.5
ACO2,2.5,3.0,8.5,2.0
ACOX1,7.0,8.0,38.5,10.0
ACP1,20.0,36.5,115.0,18.0
ACP2,0.0,4.0,11.0,4.0
ACP3,5.0,14.0,38.5,10.5
ACRV1,0.0,0.0,0.0,0.0
ACTA1,0.0,0.0,0.0,0.0
ACTB,286.5,569.0,1824.0,427.0
ACTG1,572.5,1390.0,3186.5,857.5
ACTN4,29.5,65.0,165.5,25.0
ACTL6A,4.0,7.0,38.5,3.0
ACTN1,8.5,22.5,96.5,14.5
ACTN2,0.0,0.0,0.5,0.0
ACVR1,2.5,2.0,10.0,2.0
ACVR1B,3.0,17.0,66.0,10.0
ACVR2A,0.5,1.0,5.5,1.5
ACVR2B,10.5,14.5,51.5,9.5
ACVRL1,0.5,0.0,2.5,0.5
ACY1,0.5,0.0,1.0,0.5
ACYP1,4.0,5.5,25.5,4.5
ACYP2,0.5,0.5,1.5,0.0
ADA,6.5,22.0,37.0,7.5
ADAM8,3.0,2.5,4.5,2.5
ADAM10,27.0,32.5,147.5,22.0
ADAR,50.5,79.0,277.0,48.0
ADARB1,2.5,6.5,36.5,5.0
ADCY1,0.0,0.5,1.0,0.0
ADCY3,8.5,17.5,56.5,12.5
ADCY5,0.0,0.0,0.5,0.0
ADCY6,0.0,0.0,0.0,0.0
ADCY7,14.0,43.0,181.5,15.0
ADCY9,38.0,81.0,168.5,38.5
ADD1,14.0,30.5,101.0,19.0
ADD2,16.0,27.0,84.0,10.5
ADD3,6.5,8.0,29.5,3.0
PLIN2,1.5,4.0,7.0,1.5
ADH5,7.0,7.0,35.0,6.0
ADH6,0.0,0.0,0.0,0.0
ADK,0.5,1.5,4.5,2.0
ADM,0.5,1.0,0.5,0.5
