track name="Conventional SE with ABC gene assignments"
Region_ID CHROM START_hg38 STOP_hg38 START_hg19 STOP_hg19 Genes_Assigned_per_ABC
1_merged_PDX_cell_lines_AML_1_lociStitched chr12 11697291 11864896 11850225 12017830 ETV6,PHC1,MANSC1,TAS2R20,APOLD1,
1_merged_PDX_cell_lines_AML_2_lociStitched chr4 30752170 30867698 30753792 30869320 ,
1_merged_PDX_cell_lines_AML_3_lociStitched chr3 18334144 18448188 18375636 18489680 SATB1,
1_merged_PDX_cell_lines_AML_4_lociStitched chr5 135349364 135459473 134685054 134795163 SLC25A48,TIFAB,PITX1,
1_merged_PDX_cell_lines_AML_5_lociStitched chr12 9710470 9816231 9863066 9968827 CLEC2D,M6PR,CD69,CLECL1,CLEC12A,KLRF1,
1_merged_PDX_cell_lines_AML_6_lociStitched chr11 122654746 122759912 122525454 122630620 UBASH3B,
1_merged_PDX_cell_lines_AML_7_lociStitched chr17 57394378 57494579 55471739 55571940 ,
1_merged_PDX_cell_lines_AML_8_lociStitched chr6 75591421 75676963 76301137 76386679 COX7A2,SENP6,
1_merged_PDX_cell_lines_AML_9_lociStitched chr2 42899183 42984521 43126323 43211661 ,
1_merged_PDX_cell_lines_AML_10_lociStitched chr18 25164078 25248543 22744042 22828507 ,
1_merged_PDX_cell_lines_AML_11_lociStitched chr12 93676479 93752407 94070255 94146183 SOCS2,
1_merged_PDX_cell_lines_AML_12_lociStitched chr3 152175758 152248751 151893547 151966540 MBNL1,COMMD2,MED12L,
1_merged_PDX_cell_lines_AML_13_lociStitched chr8 129526427 129598433 130538673 130610679 MYC,
1_merged_PDX_cell_lines_AML_14_lociStitched chr9 111973177 112044901 114735457 114807181 ,
1_merged_PDX_cell_lines_AML_15_lociStitched chr16 85896953 85966399 85930559 86000005 IRF8,COX4I1,
1_merged_PDX_cell_lines_AML_16_lociStitched chr5 42982056 43051311 42982158 43051413 ZNF131,
1_merged_PDX_cell_lines_AML_17_lociStitched chr2 173026920 173093654 173891648 173958382 ,
1_merged_PDX_cell_lines_AML_18_lociStitched chr5 88728204 88794851 88024021 88090668 ,
1_merged_PDX_cell_lines_AML_19_lociStitched chr11 128461863 128528224 128331758 128398119 ,
1_merged_PDX_cell_lines_AML_20_lociStitched chr8 124592585 124658723 125604826 125670964 ,
1_merged_PDX_cell_lines_AML_21_lociStitched chr14 22445883 22511313 22914875 22980295 ,
1_merged_PDX_cell_lines_AML_22_lociStitched chr9 129983578 130048812 132745857 132811091 ,
1_merged_PDX_cell_lines_AML_23_lociStitched chr14 105849861 105915371 106316194 106381230 ,
1_merged_PDX_cell_lines_AML_24_lociStitched chr10 69041467 69106404 70801223 70866160 SRGN,
1_merged_PDX_cell_lines_AML_25_lociStitched chr13 40957569 41022342 41531705 41596478 MRPS31,NAA16,
1_merged_PDX_cell_lines_AML_26_lociStitched chr17 48538902 48603501 46616264 46680863 HOXB2,HOXB6,HOXB7,HOXB3,ABI3,CDK5RAP3,GNGT2,IGF2BP1,LRRC59,PNPO,HOXB4,HOXB9,
1_merged_PDX_cell_lines_AML_27_lociStitched chr22 46034138 46098603 46430018 46494483 A4GALT,ATXN10,
1_merged_PDX_cell_lines_AML_28_lociStitched chr12 45771251 45834473 46165034 46228256 ,
1_merged_PDX_cell_lines_AML_29_lociStitched chr10 7456105 7519066 7498067 7561028 SFMBT2,
1_merged_PDX_cell_lines_AML_30_lociStitched chr1 230101614 230163463 230237361 230299209 ,
1_merged_PDX_cell_lines_AML_31_lociStitched chr6 45306883 45368602 45274620 45336339 ,
1_merged_PDX_cell_lines_AML_32_lociStitched chr1 164695210 164755985 164664447 164725222 RGS5,
1_merged_PDX_cell_lines_AML_33_lociStitched chr2 144657097 144717649 145414664 145475216 ZEB2,
1_merged_PDX_cell_lines_AML_34_lociStitched chr21 34980767 35039466 36353064 36411763 ,
1_merged_PDX_cell_lines_AML_35_lociStitched chr14 22512877 22571118 22981859 23040016 ABHD4,OXA1L,
1_merged_PDX_cell_lines_AML_36_lociStitched chr1 246175046 246233047 246338348 246396349 ,
1_merged_PDX_cell_lines_AML_37_lociStitched chr7 92713192 92770867 92342506 92400181 SGCE,
1_merged_PDX_cell_lines_AML_38_lociStitched chr1 61048790 61106025 61514462 61571697 NFIA,
1_merged_PDX_cell_lines_AML_39_lociStitched chr10 22300816 22357428 22589745 22646357 BMI1,SPAG6,
1_merged_PDX_cell_lines_AML_40_lociStitched chr19 33248211 33304809 33739117 33795715 LRP3,CEBPA,GRAMD1A,UBA2,ZNF181,PEPD,KCTD15,
1_merged_PDX_cell_lines_AML_41_lociStitched chr3 152250889 152307316 151968678 152025105 MBNL1,WWTR1,
1_merged_PDX_cell_lines_AML_42_lociStitched chr11 128675360 128731781 128545255 128601676 ETS1,FLI1,SLC37A2,ST3GAL4,
1_merged_PDX_cell_lines_AML_43_lociStitched chr1 234932474 234988726 235068221 235124473 IRF2BP2,TARBP1,
