GENE,MV411-DMSO,MV411-Naphthol,MV411-Plumbagin,MV411-Celastrol,MV411-TM1-001,MV411-Tretinoin
A2M,0.0,0.0,0.0,0.0,0.0,2.0
NAT1,29.0,30.0,36.0,84.0,106.0,85.0
AAMP,67.0,108.0,126.0,229.0,260.0,357.0
AARS1,87.0,135.0,161.0,362.0,513.0,379.0
ABAT,11.0,20.0,17.0,48.0,43.0,60.0
ABCA1,10.0,18.0,15.0,89.0,71.0,121.0
ABCA2,12.0,17.0,23.0,29.0,38.0,50.0
ABCA3,0.0,0.0,0.0,1.0,0.0,2.0
ABCB7,13.0,23.0,15.0,51.0,47.0,39.0
ABCF1,69.0,120.0,114.0,218.0,260.0,339.0
ABL1,59.0,78.0,102.0,230.0,248.0,253.0
ABL2,82.0,115.0,115.0,459.0,379.0,274.0
ABR,148.0,254.0,276.0,583.0,665.0,828.0
ACAA1,116.0,180.0,191.0,357.0,358.0,478.0
ACACA,120.0,193.0,231.0,582.0,645.0,649.0
ACACB,3.0,3.0,4.0,9.0,21.0,15.0
ACADM,151.0,203.0,221.0,740.0,633.0,669.0
ACADS,8.0,11.0,11.0,22.0,32.0,35.0
ACADSB,143.0,236.0,211.0,639.0,547.0,683.0
ACADVL,94.0,105.0,117.0,226.0,296.0,252.0
ACAT1,110.0,185.0,137.0,356.0,549.0,406.0
ACAT2,690.0,1150.0,833.0,3196.0,3395.0,2948.0
ASIC1,17.0,30.0,29.0,64.0,86.0,91.0
ACLY,325.0,586.0,530.0,1256.0,1255.0,1494.0
ACO1,34.0,56.0,40.0,133.0,105.0,153.0
ACO2,94.0,135.0,121.0,266.0,337.0,343.0
ACOX1,77.0,112.0,102.0,303.0,256.0,290.0
ACP1,411.0,705.0,612.0,1923.0,1754.0,1825.0
ACP2,8.0,15.0,14.0,24.0,39.0,42.0
ACP5,0.0,0.0,0.0,0.0,0.0,0.0
ACP3,54.0,81.0,71.0,250.0,174.0,241.0
ACRV1,0.0,1.0,1.0,1.0,2.0,3.0
ACTA1,0.0,0.0,0.0,0.0,0.0,3.0
ACTB,4376.0,8046.0,7435.0,20120.0,20503.0,19947.0
ACTG1,5838.0,9840.0,10454.0,23354.0,20830.0,28645.0
ACTN4,317.0,500.0,498.0,1272.0,1374.0,1566.0
ACTL6A,181.0,273.0,229.0,643.0,556.0,631.0
ACTN1,121.0,188.0,173.0,439.0,405.0,501.0
ACVR1,5.0,9.0,9.0,30.0,36.0,22.0
ACVR1B,20.0,24.0,35.0,79.0,82.0,102.0
ACVR2A,21.0,18.0,24.0,95.0,77.0,48.0
ACVR2B,11.0,22.0,19.0,58.0,83.0,66.0
ACVRL1,10.0,9.0,13.0,38.0,26.0,61.0
ACY1,17.0,33.0,26.0,82.0,103.0,95.0
ACYP1,74.0,111.0,116.0,211.0,354.0,292.0
ACYP2,22.0,37.0,24.0,87.0,92.0,94.0
ADA,129.0,215.0,196.0,411.0,429.0,572.0
ADAM8,4.0,8.0,9.0,16.0,15.0,19.0
ADAM10,532.0,928.0,790.0,3024.0,2681.0,2453.0
ADAR,381.0,599.0,602.0,1521.0,1350.0,1824.0
ADARB1,45.0,48.0,43.0,87.0,115.0,169.0
ADCY1,1.0,0.0,0.0,1.0,0.0,0.0
ADCY3,50.0,79.0,92.0,216.0,195.0,235.0
ADCY5,2.0,2.0,1.0,2.0,3.0,9.0
ADCY6,0.0,1.0,0.0,1.0,1.0,2.0
ADCY7,95.0,165.0,182.0,561.0,442.0,491.0
ADCY9,31.0,72.0,56.0,152.0,162.0,229.0
ADCYAP1R1,1.0,2.0,1.0,4.0,4.0,3.0
ADD1,182.0,259.0,313.0,622.0,568.0,988.0
ADD2,110.0,161.0,194.0,477.0,475.0,509.0
ADD3,167.0,274.0,205.0,835.0,703.0,751.0
PLIN2,347.0,558.0,571.0,2073.0,2082.0,1770.0
ADH5,158.0,282.0,253.0,756.0,661.0,706.0
ADK,155.0,249.0,207.0,685.0,638.0,649.0
ADM,3.0,2.0,6.0,26.0,4.0,9.0
ADORA1,0.0,1.0,0.0,1.0,1.0,4.0
ADORA2A,3.0,4.0,5.0,15.0,19.0,44.0
ADORA2B,52.0,73.0,62.0,205.0,196.0,153.0
ADORA3,1.0,3.0,2.0,7.0,7.0,5.0
ADPRH,0.0,0.0,0.0,1.0,2.0,2.0
PARP1,196.0,343.0,288.0,669.0,810.0,768.0
PARP4,19.0,17.0,15.0,49.0,65.0,40.0
ADRA1D,0.0,0.0,0.0,0.0,1.0,4.0
ADRA2C,2.0,2.0,2.0,3.0,4.0,8.0
ADRB1,0.0,1.0,1.0,2.0,3.0,4.0
ADRB2,4.0,5.0,7.0,24.0,17.0,9.0
GRK2,148.0,213.0,229.0,410.0,530.0,689.0
GRK3,54.0,86.0,101.0,268.0,277.0,240.0
ADSL,49.0,83.0,79.0,216.0,324.0,236.0
ADSS2,155.0,219.0,206.0,667.0,643.0,587.0
AP2A1,35.0,44.0,46.0,151.0,127.0,134.0
AP2A2,26.0,40.0,36.0,87.0,140.0,124.0
AP1B1,52.0,86.0,77.0,168.0,188.0,256.0
AP2B1,451.0,713.0,776.0,1775.0,1612.0,1984.0
AP1G1,445.0,756.0,788.0,2003.0,1789.0,1995.0
TLE5,49.0,68.0,65.0,175.0,127.0,226.0
AFG3L1P,47.0,76.0,83.0,175.0,215.0,225.0
AGA,136.0,222.0,194.0,590.0,571.0,541.0
AGER,11.0,22.0,22.0,45.0,59.0,59.0
AGL,35.0,61.0,48.0,204.0,189.0,167.0
JAG1,3.0,1.0,6.0,24.0,21.0,11.0
AGT,8.0,12.0,13.0,24.0,27.0,36.0
AHCY,380.0,609.0,586.0,1455.0,1243.0,1611.0
AHR,135.0,148.0,155.0,615.0,905.0,460.0
AIF1,327.0,496.0,457.0,1140.0,1288.0,1504.0
CRYBG1,56.0,97.0,93.0,306.0,240.0,246.0
