GENE,MV411-DMSO,MV411-Naphthol,MV411-Plumbagin,MV411-Celastrol,MV411-TM1-001,MV411-Tretinoin
A2M,0.2,0.2,0.2,0.4,0.4,2.8
NAT1,29.4,33.0,29.6,86.8,105.0,147.6
AAMP,103.0,111.2,112.6,236.6,364.6,652.2
AARS1,126.8,145.2,139.6,369.8,732.2,930.0
ABAT,11.2,21.6,17.0,47.2,79.6,133.8
ABCA1,10.6,21.2,17.8,79.4,66.4,253.0
ABCA2,16.0,18.6,20.0,38.4,66.2,130.0
ABCA3,0.2,0.8,0.4,0.8,0.4,2.6
ABCB7,16.0,21.6,14.2,47.2,51.6,75.6
ABCF1,88.0,112.0,107.6,207.2,413.8,688.6
ABL1,68.6,81.8,90.6,243.0,398.2,579.6
ABL2,85.2,106.4,115.8,423.8,580.0,600.6
ABR,173.2,254.6,251.2,596.8,1170.2,1855.6
ACAA1,146.0,181.4,183.4,381.2,609.6,1177.6
ACACA,152.0,203.6,211.4,522.8,964.2,1345.6
ACACB,4.6,4.2,4.6,11.6,27.2,27.0
ACADM,177.0,238.8,212.0,629.4,594.0,1043.2
ACADS,8.2,10.2,9.2,23.2,47.2,68.6
ACADSB,164.0,232.6,219.2,607.4,729.6,1429.4
ACADVL,90.4,101.0,102.6,237.4,369.4,507.8
ACAT1,150.8,173.2,146.0,341.6,576.4,940.6
ACAT2,961.0,1110.6,905.4,2751.6,3528.2,5864.8
ASIC1,20.6,31.2,29.2,67.6,128.0,176.2
ACLY,434.2,545.4,512.8,1184.2,1948.2,3259.6
ACO1,39.0,54.2,43.0,118.2,150.2,286.8
ACO2,99.2,131.4,111.6,254.8,477.8,755.4
ACOX1,93.0,112.8,111.4,263.8,383.4,655.6
ACP1,534.2,713.2,635.8,1768.6,2177.6,4253.6
ACP2,9.2,13.8,13.6,28.2,52.4,99.4
ACP5,0.2,0.0,0.0,0.0,0.0,3.6
ACP3,57.4,81.2,73.0,207.0,231.0,563.6
ACRV1,0.6,0.8,0.8,1.8,2.6,3.0
ACTA1,0.2,0.6,0.0,0.2,1.2,2.4
ACTB,5981.0,7645.6,7207.0,18648.8,25618.0,39274.8
ACTG1,7290.4,9687.6,9498.4,22976.0,39327.2,69507.8
ACTN4,404.0,481.8,455.0,1240.6,1866.2,3010.6
ACTL6A,207.4,270.6,234.8,606.0,727.0,1302.4
ACTN1,136.6,175.2,163.8,428.4,671.2,1002.0
ACVR1,6.0,9.6,10.0,26.2,34.4,44.4
ACVR1B,22.2,26.6,33.2,77.8,126.8,237.0
ACVR2A,21.8,21.8,22.0,76.4,92.2,110.2
ACVR2B,12.4,21.8,20.8,52.0,114.0,117.8
ACVRL1,10.0,10.0,10.8,34.6,43.8,97.6
ACY1,23.4,30.0,26.8,76.6,107.6,138.4
ACYP1,94.4,103.6,106.0,202.8,427.6,710.8
ACYP2,27.6,37.4,27.2,77.6,95.8,179.6
ADA,157.6,204.2,194.2,425.0,731.4,1398.4
ADAM8,6.8,8.8,8.4,16.4,33.6,55.4
ADAM10,661.0,956.8,839.4,2543.2,2684.4,4881.0
ADAR,430.0,595.8,563.8,1384.2,2040.6,3735.2
ADARB1,52.6,51.6,42.0,84.6,203.0,352.0
ADCY1,0.8,0.4,0.4,1.0,1.8,2.0
ADCY3,62.8,81.4,80.0,195.8,365.2,556.2
ADCY5,1.6,1.4,1.2,2.6,5.6,9.6
ADCY6,0.2,0.6,0.2,0.6,1.8,4.0
ADCY7,121.0,176.8,182.6,495.8,670.6,1124.6
ADCY9,35.6,75.2,48.4,133.2,300.8,496.2
ADCYAP1R1,1.4,1.4,0.6,5.8,4.2,6.4
ADD1,198.0,277.0,280.2,611.6,975.2,1977.2
