GENE,MV411-DMSO,MV411-Naphthol,MV411-Plumbagin,MV411-Celastrol,MV411-TM1-001,MV411-Tretinoin
A2M,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,3.0,5.0,1.0,9.0,6.0,7.0
AAMP,2.0,2.0,3.0,4.0,5.0,14.0
AARS1,4.0,7.0,7.0,34.0,44.0,28.0
ABAT,0.0,2.0,1.0,1.0,2.0,4.0
ABCA1,1.0,3.0,5.0,21.0,15.0,40.0
ABCA2,2.0,2.0,0.0,1.0,0.0,3.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,0.0,0.0,0.0,1.0,0.0,1.0
ABCF1,7.0,9.0,13.0,17.0,22.0,45.0
ABL1,6.0,9.0,15.0,34.0,18.0,33.0
ABL2,16.0,19.0,16.0,78.0,44.0,59.0
ABR,12.0,15.0,13.0,37.0,35.0,69.0
ACAA1,3.0,4.0,3.0,6.0,6.0,8.0
ACACA,11.0,23.0,18.0,53.0,71.0,97.0
ACACB,1.0,0.0,0.0,0.0,0.0,3.0
ACADM,2.0,1.0,3.0,6.0,7.0,8.0
ACADS,0.0,0.0,0.0,0.0,1.0,0.0
ACADSB,2.0,4.0,5.0,9.0,10.0,17.0
ACADVL,1.0,2.0,1.0,6.0,4.0,4.0
ACAT1,0.0,1.0,0.0,3.0,3.0,7.0
ACAT2,4.0,5.0,4.0,12.0,36.0,19.0
ASIC1,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,5.0,16.0,12.0,26.0,30.0,41.0
ACO1,0.0,1.0,0.0,1.0,1.0,3.0
ACO2,3.0,5.0,1.0,8.0,9.0,12.0
ACOX1,3.0,6.0,6.0,18.0,12.0,17.0
ACP1,12.0,23.0,22.0,54.0,43.0,94.0
ACP2,0.0,2.0,2.0,1.0,1.0,5.0
ACP5,0.0,0.0,0.0,0.0,0.0,0.0
ACP3,2.0,0.0,2.0,5.0,3.0,35.0
ACRV1,0.0,0.0,0.0,0.0,0.0,0.0
ACTA1,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,76.0,125.0,98.0,317.0,187.0,317.0
ACTG1,154.0,335.0,245.0,574.0,356.0,872.0
ACTN4,7.0,20.0,14.0,24.0,18.0,52.0
ACTL6A,3.0,7.0,3.0,12.0,10.0,14.0
ACTN1,4.0,3.0,1.0,10.0,5.0,9.0
ACVR1,0.0,1.0,1.0,2.0,1.0,1.0
ACVR1B,4.0,6.0,6.0,12.0,11.0,26.0
ACVR2A,2.0,2.0,3.0,17.0,7.0,4.0
ACVR2B,2.0,3.0,2.0,6.0,5.0,12.0
ACVRL1,0.0,0.0,0.0,0.0,0.0,3.0
ACY1,0.0,0.0,0.0,0.0,4.0,2.0
ACYP1,1.0,3.0,3.0,5.0,5.0,7.0
ACYP2,0.0,0.0,0.0,0.0,0.0,1.0
ADA,0.0,2.0,1.0,4.0,2.0,8.0
ADAM8,0.0,1.0,1.0,1.0,3.0,5.0
ADAM10,12.0,32.0,14.0,101.0,86.0,69.0
ADAR,18.0,32.0,32.0,85.0,74.0,144.0
ADARB1,4.0,3.0,1.0,4.0,10.0,8.0
ADCY1,0.0,0.0,0.0,0.0,0.0,0.0
ADCY3,0.0,3.0,1.0,2.0,7.0,13.0
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.0,0.0,0.0,0.0,0.0,0.0
ADCY7,6.0,12.0,8.0,33.0,5.0,26.0
ADCY9,4.0,20.0,4.0,21.0,22.0,60.0
ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,3.0,9.0,9.0,19.0,12.0,49.0
ADD2,3.0,4.0,3.0,9.0,10.0,20.0
ADD3,1.0,4.0,2.0,9.0,7.0,24.0
PLIN2,7.0,10.0,12.0,92.0,24.0,72.0
ADH5,3.0,6.0,4.0,15.0,11.0,13.0
ADK,3.0,2.0,2.0,6.0,10.0,7.0
ADM,1.0,0.0,2.0,9.0,0.0,3.0
ADORA1,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2A,0.0,0.0,0.0,2.0,3.0,12.0
ADORA2B,5.0,8.0,8.0,26.0,13.0,12.0
ADORA3,0.0,0.0,0.0,0.0,0.0,0.0
ADPRH,0.0,0.0,0.0,0.0,0.0,0.0
