,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
DPM1,817.0,1159.0,1488.0,994.0,813.0,926.0,835.0,1780.0
SCYL3,205.41,322.94,360.41,248.56,203.88,197.67,187.54,375.24
C1orf112,290.59,497.06,537.59,341.44,303.12,272.33,272.46,601.76
FGR,260.0,480.0,511.0,329.0,141.0,138.0,147.0,241.0
CFH,8.0,8.0,10.0,6.0,11.0,4.0,6.0,30.0
FUCA2,814.88,1372.6,1514.8,975.74,906.54,822.85,815.78,1739.6
GCLC,156.0,259.0,244.0,206.0,182.0,201.0,164.0,363.0
NFYA,1385.0,2221.0,2151.0,1524.0,1440.0,1335.0,1323.0,2608.0
STPG1,33.0,47.0,45.0,24.0,26.0,18.0,21.0,36.0
NIPAL3,402.0,657.0,682.0,485.0,391.0,393.0,320.0,756.0
LAS1L,1350.0,2279.0,2238.0,1524.0,1325.0,1188.0,1170.0,2575.0
SEMA3F,27.0,66.0,66.0,33.0,23.0,18.0,27.0,56.0
ANKIB1,494.0,658.0,722.0,529.0,402.0,495.0,423.0,855.0
CYP51A1,5281.9,7725.2,10135.0,7203.0,4201.9,5081.0,4751.0,8473.9
KRIT1,613.37,795.0,946.09,753.98,573.4,610.41,610.22,1314.8
RAD52,120.0,172.0,198.1,129.28,105.0,130.0,86.0,236.0
MYH16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
BAD,107.75,220.51,207.59,130.91,94.84,90.32,90.71,173.82
LAP3,998.0,1788.0,1724.0,1152.0,1262.0,1061.0,1067.0,2247.0
AOC1,20.0,33.0,19.0,14.0,12.0,12.0,21.0,41.0
WNT16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
HECW1,2.0,3.0,11.0,4.0,12.0,12.0,14.0,24.0
MAD1L1,429.0,812.0,757.0,500.0,448.0,408.0,379.0,802.0
LASP1,3601.3,6289.1,5964.1,4431.8,2986.9,2715.7,2612.8,5457.9
SNX11,371.0,914.0,767.0,509.0,516.0,435.0,385.0,928.0
TMEM176A,3.0,3.0,7.0,3.0,1.0,2.0,4.0,5.0
M6PR,4494.8,7568.4,7154.8,5125.0,4425.4,4153.4,3971.3,8439.6
