KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
DHRS4-AS1,302.75,512.75,548.16,355.78,315.89,302.4,299.64,579.39
DHRS4L2,79.6,143.12,164.7,113.65,89.2,81.96,72.25,128.19
DHRS7,251.93,462.45,495.85,329.27,264.88,212.21,252.85,495.93
DHRS7B,190,346,305,220,208,163,157,345
DHRS9,36,63,70,56,40,44,35,65
DHTKD1,1578,2898,2749,1937,1454,1365,1344,2749
DHX15,4313,6692,6930,4696,4600,4316,4246,8372
DHX16,790,1224,1210,839,633,561,535,1251
DHX29,794,1123,1220,873,706,719,667,1401
DHX30,1208,2071,1882,1285,1039,907,911,1910
DHX32,447.88,816.41,862.58,639.1,554.2,489.95,491.88,1015.5
DHX33,913,1392,1210,905,768,667,638,1438
DHX34,553,958,819,585,436,360,367,800
DHX35,214,368,340,243,228,195,191,422
DHX35-DT,0,1,0,0,0,0,0,0
DHX36,1258,1764,1872,1406,1136,1276,1171,2322
DHX37,1121,1989,1613,1077,912,736,716,1610
DHX38,1508.5,2232.8,2208.1,1600,1223.7,1090,1047.7,2454.8
DHX40,678.79,1087.8,1231.7,793.81,645.83,644.95,669.97,1270.9
DHX40P1,0,1.19,1.21,0,1.17,0,0,0
DHX57,302,433,469,307,263,247,266,514
DHX58,25,53,52,40,17,24,14,47
DHX8,1153,1689,1551,1068,961,758,782,1620
DHX9,6730,10260,10188,7104,6239,5553,5250,12157
DHX9P1,3,1,0,2,0,1,1,0
DIABLO,613.78,1099.3,1077.8,809.67,741.77,607.71,633.66,1265
DIAPH1,11235,17949,16373,11907,8752,8084,8101,15620
DIAPH1-AS1,0,0,2,0,0,0,2,2
DIAPH2,986,1230,1307,1054,712,772,707,1316
DIAPH2-AS1,0,1,0,0,0,0,1,0
DIAPH3,658,800,881,674,507,524,464,947
DICER1,1689,1906,2150,1647,1265,1338,1296,2692
DICER1-AS1,15,26,24,14,11,12,15,15
DIDO1,2910,4187,3610,2881,2133,1932,1771,3890
DIMT1,777,1098,1198,872,807,830,773,1664
DINOL,0,2,2,1,1,3,2,2
DIO1,1,5,14,10,6,6,4,9
DIO2,0,4,3,1,1,1,1,0
DIP2A,494,821,835,544,484,438,473,954
DIP2A-IT1,0,0,0,0,0,0,0,1
DIP2B,2766,3707,3729,2637,2055,2117,2069,4103
DIP2C,0,2,2,2,2,1,1,5
DIPK1A,10.02,10.27,8.1,10.04,8.06,9.07,10.2,15.07
DIPK1B,38.98,73.81,55.48,37.16,34.44,28.97,18.93,58.88
DIPK1C,20,29,33,21,20,30,29,46
DIPK2A,355,373,499,439,294,435,379,690
DIPK2B,0,0,0,0,0,1,0,0
DIRAS1,377,606,533,396,292,338,307,697
DIRAS2,0,1,0,0,0,0,0,0
DIRC3,1,2,1,2,2,1,1,1
DIRC3-AS1,0,0,0,0,0,0,1,0
DIS3,2019.2,2601.6,2918.9,2088.2,1710.2,1765.3,1649.1,3506.1
DIS3L,649,955,979,705,608,561,533,1141
DIS3L-AS1,0,0,1,0,0,0,0,0
DIS3L2,281.07,503.12,483.12,303.37,295.67,250,234.21,552.83
DISC1,217,334,345.27,235,226,209.11,247,398.23
DISC1FP1,0,0,0,0,1,0,0,1
DISP1,4,18,15,8,8,6.66,17,11
DISP2,38,66,60,51,37,32,37,61
DISP3,7,9,22,10,7,14,3,5
DIXDC1,312,449,417,339,192,195,149,354
DKC1,2840,4614,4745,3337,2972,2628,2588,5812
DKK2,23,26,31,28,29,30,20,51
DKK3,0,3,0,0,0,1,0,0
DKKL1,8,11,15,5,3,1,1,5
DLAT,1728,2262,2447,2006,1362,1494,1302,2698
DLC1,20,18,21,17,13,6,3,9
DLD,1693,2374,2763,2014,1626,1677,1603,3419
DLEC1,0,3.68,3.85,4.96,0,0,2,2
DLEU1,128.63,195.48,215.87,165.66,90.53,132.29,103.78,236.22
DLEU2,244.87,317.4,374.86,319.42,305.87,317.25,288.14,595.13
DLEU2L,6.75,6,10.93,9,2,2.3,3,7
DLEU7,9,19,16,20,18,19,7,25
DLG1,869,1331,1354,962,797,821,797,1570
DLG2,1,3,3,0,0,1,1,2
DLG3,7,2,8,4,3,1,0,4
DLG4,480,795,816,578,425,386,426,824
DLG5,111.15,163.88,136.45,87.97,78.15,71.29,63.86,171.47
DLG5-AS1,2,0,0,0,0,0,1,0
DLGAP1,0,0,0,0,1,0,0,0
DLGAP1-AS1,4,4,7,4,2,1,1,1
DLGAP1-AS2,2,2,6,4,0,1,1,0
DLGAP1-AS3,3,1,0,1,2,1,1,6
DLGAP2,1,0,0,0,0,0,0,0
DLGAP3,27,28,31,14,22,20,14,31
DLGAP4,1216,1858.9,1727,1326,734,649,652,1315.9
DLGAP4-AS1,0,1.06,0,0,1,0,1,2.12
DLGAP5,1343,1773,1977,1455,1214,1179,1150,2349
DLK2,13,25,18,22,20,11,5,18
DLL1,36,61,96,48,19,14,24,36
DLL3,5,2,5,1,0,1,1,5
DLL4,3,4,4,1,1,3,0,6
DLST,1624,3095,3002,1923,1961,1634,1617,3675
DLSTP1,9,9,13,9,9,7,8,18
DLX1,736,1138,1127,911,567,546,514,1265
DLX2,85,126,148,82,19,14,29,44
DLX2-DT,0,1,0,1,0,0,0,0
DLX3,2,2,4,3,1,2,1,3
DLX4,90,144,107,106,57,59,56,116
DM1-AS,0,2,1,0,1,0,1,1
DMAC1,327,698,615,402,394,323,350,671
DMAC2,1060,2060,1930,1332,955,932,884,2002
DMAC2L,542.62,886.81,900.84,643.92,538.49,549.17,532.17,1054.3
DMAP1,265,429,453,277,237,230,203,477
DMBT1L1,0,0,0,0,1,0,0,0
DMBX1,1,1,1,0,1,1,4,4
DMC1,10,14,9,24,11,16,7,17
DMD,0,0,0,0,1,0,0,0
DMGDH,0,2,1,0,1,1,0,3
DMKN,0,0,0,1,0,0,0,0
DMPK,114,248,232,164,90,101,76.5,186.86
DMRT1,5,2,0,2,2,2,0,2
DMRT3,1,2,8,7,4,3,2,2
DMRTA1,0,0,1,3,0,0,0,0
DMRTA2,0,1,0,0,0,0,0,0
DMTF1,665.27,1001,1265,1028.3,819.06,918,884,1662.3
DMTN,0,6,1,0,2,2,0,1
DMWD,250,423,336,313,140,131,115,245
DMXL1,573,705,806,561,453,527,492,878
DMXL2,1155,1504,1580.9,1096,1228,1128,1137,2179
DNA2,430,536,579,453,363,400,382,776
DNAAF1,1,2,5,3.54,1,1,3,3
DNAAF10,317.05,506.48,543.98,389,348.19,340,326.92,712
DNAAF11,10,13,22,5,6,6,6,16
DNAAF2,340,477,514,408,326,371,316,608
DNAAF3,79.37,107.83,85.42,76.57,55.67,50.46,51.28,115.31
DNAAF3-AS1,1.63,0,1.46,1.43,0,0,1.72,1.69
DNAAF4,10,19,20,9,8,5,12,0
DNAAF4-CCPG1,0,0,0,0,0,0,0,29.36
DNAAF5,538,1056,946,664,561.98,533,503,1075
DNAAF8,6,5.1,3.04,10.03,3.01,6.62,3.1,15.14
DNAAF9,1346,2136,2143,1433,953,963,844,1871
DNAH1,160,320,326,212,185,168,169,384
DNAH10,3,9,6.79,10.43,2,4,2.74,4.16
DNAH10OS,0,1,2.21,4.57,3,0,1.26,1.84
DNAH11,1.01,3.01,4,2,2.01,2.01,1,1.01
DNAH12,0,2,2,2,0,3,0,3
DNAH14,0,0,2,0,0,0,0,0
DNAH17,11,15,16,5,12,12,8,13
DNAH17-AS1,0,7,4,3,2,3,1,1
DNAH2,5,4,1,1,2,2,1,3
DNAH3,6,10,4,5,3,2,5,12
DNAH5,0,0,0,0,0,0,0,1
DNAH6,0,5,5,4,1,4,2,4
DNAH7,0,4,2,3,2,0,0,4
DNAI1,0,0,0,0,0,0,1,0
DNAI3,4,5,2,4,2,6,4,3
DNAI4,5,3,7,4,2,3,4,7
DNAI7,1,0,0,0,0,0,0,1
DNAJA1,5072,7404,7724,5807,5139,4958,4411,10510
DNAJA1P3,0,2,3,0,0,1,1,0
DNAJA2,1484,2331,2593,1861,1457,1504,1372,3135
DNAJA2-DT,0,0,0,0,0,0,0,2
DNAJA3,1254,2201,1974,1404,1182,984,973,2105
DNAJA4,466.56,761,760,577,416,364,365.6,845
DNAJB1,2096,3504,3549,2304,1953,1733,1678,3599
DNAJB11,1400.7,2157.2,2215.1,1740.2,1380.6,1265.7,1207.5,2621.4
DNAJB12,881,1500,1398,991,804,689,646,1506
DNAJB13,1.67,3,3,2,4,1,2,0
DNAJB14,738,866,1052,844,613,743,668,1251
DNAJB2,140,263,247,182,109,120,104,263
DNAJB4,149,233,257,198,126,185,114,301
DNAJB5,39,75,71,55,55,41,36,84
DNAJB5-DT,0,0,1,0,0,0,0,0
DNAJB6,2140.9,3475.8,3457.3,2494.5,1862.2,1774.6,1605.7,3854.4
DNAJB6P1,25.06,40.16,39.72,40.52,23.78,13.41,9.35,46.64
DNAJB6P2,0,0,2,0,1,1,0,1
DNAJB6P8,0,1,0,0,0,0,0,0
DNAJB7,3.53,3.34,1.05,5.37,1.14,0,5.23,8.77
DNAJB9,356,529,623.51,437,269,308,266,585
DNAJC1,92,169,192,119,77,98,108,185
DNAJC10,579,749,764,615,548,545,474,920
DNAJC11,1219.6,1820.2,1781.5,1271.6,1074.8,846.81,930.17,2065.7
DNAJC12,46,70,86,43,29,23,38,59
DNAJC13,1236,1554,1661,1132,936,860,878,1840
DNAJC14,862.52,1419.5,1295.4,897.89,743.96,623.17,590.47,1401
DNAJC15,211,367,360,256,234,237,233,490
DNAJC16,409,548,585,358,335,304,306,647
DNAJC17,196.34,301.27,307.56,185.97,171.91,165.91,119.51,340.09
DNAJC18,132,205,195,155,116,92,137,225
DNAJC19,341,620,594,376,332,323,291,634
DNAJC19P5,0,2,0,2,0,0,0,2
DNAJC19P6,0,0,0,0,0,0,0,1
DNAJC19P9,0,0,0,0,0,0,0,1
DNAJC2,1083.8,1516.9,1702.5,1278.6,1071.5,1098.4,957.77,2221.2
DNAJC21,1853,2609,2818,2080,1706,1791,1653,3443
DNAJC22,2,5,4,1,2,3,0,5
DNAJC24,140,203,212,141,155,120,127,277
DNAJC25,142,182.76,228.13,186.79,140.18,151.73,121,259
DNAJC25-GNG10,37.66,33.97,57.6,28.88,56.94,37.49,60.65,109.85
DNAJC27,88,95,146,101,65,87,65,145
DNAJC27-AS1,3,3,6,5,1,0,2,3
DNAJC28,23,26,46,51,32,31,31,49
DNAJC3,1936,2669,2748,2146,1630,1763,1685,3196
DNAJC3-DT,45,57,82,49,50,61,61,63
DNAJC30,169,336,288,200,181,136,156,289
DNAJC4,358.98,683.85,567.91,460.96,268.99,235,215,450.95
DNAJC5,1841,3585,3198,2131,1835,1669,1536,3368
DNAJC5B,31,45,69,34,11,14,16,29
DNAJC5G,0,1,0,1,1,0,1,0
DNAJC6,8,6,5,1,2,2,2,3
DNAJC7,2633.7,4250,4659.4,3255.8,2698.9,2745.9,2480.6,5465.1
DNAJC8,2709,3914,4008,3265,2634,2702,2468,5593
DNAJC8P1,1,0,0,0,0,0,0,1
DNAJC9,983.19,1764.1,1671.2,1147.8,1139,944.19,881.71,2211.5
DNAJC9-AS1,3,2,0,1,3,3,1,2
DNAL1,153,179,204.08,127,112,107,105,208
DNAL4,118,282,239,145,115,110,111,224
DNALI1,3,2,2,0,2,1,1,1
DNASE1,199.03,375.32,343.98,236.25,245.01,218.25,200.77,457.43
DNASE1L1,163.06,314.54,307.09,175.96,157.66,156.82,123.14,304.19
DNASE1L2,3,16,16,3.37,5,4,4.93,12.46
DNASE2,27,72,79,53,36,37,27,64
DNASE2B,0,1,0,0,1,0,1,1
DND1,1.64,3.54,1.59,1.6,5.47,0,2.93,4.26
DND1P1,6.01,14.17,19.85,12.78,4.97,5,4.57,9.53
DNHD1,252,464,456,348,215,234,207,446
DNLZ,35.73,63.67,55.12,40.66,39.4,44.46,37.14,58.09
DNM1,298,472,472,322,336,330,328,637
DNM1L,1403.2,1898,2214.7,1665,1355,1361,1315,2734.1
DNM1P28,0,1,0,0,0,0,0,0
DNM1P34,0,0,1,0,0,0,0,1
DNM1P35,49,102,76,62,72,62,57,122
DNM1P41,0,3,1,2,1,2,1,1
DNM1P46,14,26,41,20.99,10,7,11,22
DNM1P47,7,7.94,5,2.01,5,2,7,9
DNM2,4078.1,7186.8,6500.4,4523.8,3701.3,3053,3049.8,6577.5
DNM3,12,14,23,13,11,11,6,25
DNM3-IT1,0,0,0,0,1,0,0,0
DNM3OS,0,0,2,0,1,0,1,0
DNMBP,289,427,415,278,180,165.87,157,340
DNMBP-AS1,0,0,0,0,0,0.13,0,0
DNMT1,8372,12523,11082,7976,6110,4929,5009,11304
DNMT3A,614,964,1012,754,488,491,421,878
DNMT3B,293,471,522,378,197,175,167,331
DNMT3L,0,1,1.16,1,2,2,2,0
DNMT3L-AS1,3,2,5,2,1,0,4,5
DNPEP,654,1304,1131,711,718,572,580,1239
DNPH1,285,610,499,323,330,222,233,558
DNTTIP1,539,975,954,605,475,458,458,1016
DNTTIP2,1620,2444,2584,1989,1728,1822,1643,3469
DOC2A,34.59,50.11,43.26,33.55,32.31,25.5,21.06,53.43
DOC2GP,11,19,29,13,14,7,14,24
DOCK1,12,25,13,18,7,5,6,15
DOCK10,2919,4036,4206,3002,1759,1752,1761,3657
DOCK11,1952,2392,2622,1930,1599,1507,1674,3006
DOCK11P1,3,2,0,2,2,0,3,2
DOCK2,5105,7802,7647,4823,4129,3521,3700,7184
DOCK3,8,13,16,6,4,2,7,21
DOCK4,15,15,21,18,8,11,4,23
DOCK5,1852,2427,2608,1919,1439,1455,1394,2884
DOCK6,611,1069,958,641,460,419,430,779
DOCK7,430,511,630,424,319,311,315,589
DOCK8,5156.8,8034,8075.1,5490.1,4272.9,3883,3921.3,7773.8
DOCK8-AS1,58.21,90,84.91,61.94,39.15,53,57.66,105.24
DOCK9,1,0,0,0,1,0,1,4
DOCK9-AS1,0,0,0,0,1,0,0,0
DOHH,180,424,344,227,205,154,145,347
DOK1,535,890,844,618,441,391,373,858
DOK2,1247,2248,2160,1460,1158,965,870,2035
DOK3,934,1488,1372,1121,777,668,696,1470
DOK4,51,98,100,65,32,38,21,66
DOK7,4,7,3,6,4,3,1,1
DOLK,109,221,171,108,117,86,103,170
DOLPP1,282,426,389,275,191,194,240,413
DONSON,411,610,682,517,427,439,449,869
DOP1A,258.05,352.47,378.54,261.14,223.57,186.52,206.35,387.59
DOP1B,730,1104,976,675,571,469,541,1123
DOT1L,3511.1,5861.5,5175.3,3812.3,2295.1,2003.3,1954.6,4222.4
DPAGT1,559.03,1002,928.45,622,557,434.65,446.77,928
DPCD,137,254.02,265,167.02,128.12,124,112,233
DPEP2,33,82,103,56,22,23,30,70
DPEP2NB,0,0,1,0,0,0,0,0
DPEP3,0,1,0,0,0,1,0,0
DPF1,5,9,14,8,4,3,8,12
DPF2,1101,1813,1637,1192,859,718,737,1582
DPF3,8,22,18,14,12,15,6,24
DPH1,352.38,715.45,540.78,365.21,330.8,258.11,222.43,660.67
DPH2,638,1264,967.98,630.99,622.98,476,482.99,1101
DPH3,387,618,596,470,487,478,474,975
DPH3P1,0,2.57,1.14,1.21,0,0,0,2.66
DPH5,193,315,405,221,195,191.41,197,393.6
DPH6,125,168,193,135,110,135,103,216
DPH6-DT,0,0,1,2,0,0,0,3
DPH7,229,461,379,265,245,189,184,388
DPM1,817,1159,1488,994,813,926,835,1780
DPM2,445,807,812,515,489,370,366,849
DPM3,96,240,235,104,114,109,99,213
DPP3,1052.6,2168.3,1917.5,1276.5,1187.3,943.41,950.45,2066.2
DPP4,46,59,74,50,48,63,76,139
DPP7,1204,2327,1834,1288,1206,939,989,2042
DPP8,1453,1921,1964,1552,1269,1274,1125,2558
DPP9,1936.3,3560.6,3109,2082.4,1805,1527.4,1445.6,3233.2
DPP9-AS1,12.71,11.39,0,6.55,9.04,9.57,1.42,17.81
DPRXP1,0,0,0,0,0,1,0,0
DPRXP3,0,1,0,0,0,0,1,1
DPRXP4,0,0,0,1,1,0,0,0
DPY19L1,639,703,796,609.95,520.99,541.35,428,975
DPY19L1P1,9.01,14.87,22.73,13.02,12.3,16,11.29,33.37
DPY19L1P2,0,0,0,1.05,1.01,0,0,2
DPY19L2,0,0,0,0,0,0,1.03,0
DPY19L2P1,10.19,15,10.05,9,4.02,10,10.11,11.09
DPY19L2P2,177.81,280,266.95,181,157.98,150,111.85,343.9
DPY19L2P3,3,3,0,0,0,1,1,1.01
DPY19L3,1374,1783,1968,1595,1452,1547,1307,2867
DPY19L3-DT,2,5,9,10,3,0,2,4
DPY19L4,567.5,794.25,997.3,689.43,645,778.43,701.62,1332.3
DPY30,297,458,530,340,252,268,238,605
DPYD,793,1259,1270,776,695,762,734,1368
DPYD-AS1,0,0,0,0,0,1,1,0
DPYD-IT1,0,0,1,0,0,0,0,0
DPYS,1,1,0,2,0,0,0,0
DPYSL2,5405,8938,9766,7059,4907,5192,4793,10267
DPYSL3,189,375,433,257,77,111,114,151
DPYSL4,0,0,1,0,1,0,0,0
DPYSL5,0,1,0,0,0,0,0,0
DQX1,19,30,35,31,11,14,16,37
DR1,1902,2630,2905,2250,1853,2004,1848,3801
DRAIC,0,1,1,1,3,0,1,0
DRAM1,56,111,111,80,102,70,68,150
DRAM2,597,788,1014,741,540,566,596,1079
DRAP1,1059,1876,1713,1237,923,828,926,1964
DRAXIN,10,18,17,15,8,9,3,24
DRC1,2,2,2,0,3,2,2,1
DRC3,24,41.53,39.43,31,24,25.31,28,63.06
DRC7,26,23,47,23,16,21,15,33
DRD4,0,7,2,1,2,0,0,2
DRD5,1,0,0,0,2,0,1,3
DRG1,1150.1,2169,2090.7,1287.8,1261,1011.9,1037.5,2284
DRG1P1,0,0,0,2,1,1,0,1
DRG2,582.84,1106.5,1021.9,634,643.85,491.92,493.8,1131.8
DRICH1,0,2,3,2,2,2,2,4
DROSHA,1427,2104,2115,1637,1304,1281,1191,2490
DRP2,10,13,18,16,9,8,11,20
DSC1,0,1,1,0,0,0,0,0
DSC2,8,8,9,5,6,3,13,20
DSCC1,594,834,891,649,578,616,584,1085
DSCR9,2.05,7,4,0,4,4,0,5.12
DSE,11.53,16.21,23.11,13.48,9.28,9.96,14.07,22.94
DSEL,0,0,2.92,1,0,0,0,4
DSG1,1,0,0,0,0,0,0,0
DSN1,493,817,884,628,560,530,515,1130
DSP,0,0,1,0,0,0,0,0
DSPP,0,0,0,1,0,0,0,0
DST,65,60,72,66,50,59,54,71
DSTN,871,1382,1648,1077,961,1046,987,1892
DSTNP1,8,7,11,6,1,4,4,12
DSTNP2,22,36,44,22,20,23,25,50
DSTNP4,0,0,0,2,0,0,0,0
DSTYK,284,491,495,386,368,366,354,744
DTD1,459,803,811,609.16,464.85,395,378,981
DTD2,261,403.15,404.57,293,263,279,203,498
DTHD1,0,0,2,0,0,0,0,0
DTL,1387,2078,2126,1500,1240,1252,1175,2480
DTNA,520,828,909,611,546,509,475,1021
DTNB,2,8,5,8,2,3,7,7
DTNBP1,151,247,252,170,131,133,106,274
DTWD1,568,753,924,682,493,583,570,1100
DTWD2,121,151,160,92,96,107,104,161
DTX1,0,0,0,1,0,0,0,0
DTX2,411.42,706.6,613.64,469.53,357.65,356.66,310.44,714.71
DTX2P1,33.94,66.48,65.38,54.59,55.36,22.53,40.28,92.88
DTX2P1-UPK3BP1-PMS2P11,195.15,306.58,306.91,224.02,148.23,117.27,125.44,222.48
DTX3,0,1,2,0,2,0,0,0
DTX3L,1022,1473,1432,1068,665,733,715.94,1412
DTX4,577,1115,891,572,543,415,397,888
DTYMK,567,1136,980,573,691,508,530,1229
DUBR,2,2,1,1,1,1,0,1
DUOX1,3,2,4.73,2.16,1,1,2,4.12
DUOXA1,0,0,0,0,0,1,0,0
DUS1L,891,1700,1503,1079,950,810,740,1767
DUS2,206.22,421.7,388.75,252.16,209.61,181.72,180.62,376.19
DUS3L,669,1316,1107,707.64,666,510,485,1185
DUS4L,134.2,192.19,193.18,143.31,114.99,129.48,113.11,192.87
DUSP1,10,15,27,11,4,6,11,14
DUSP10,280,409,530,378,220,272,261,430
DUSP11,270,447,487,350,250,294,294,474
DUSP12,226,431,464,322,258,271,236,533
DUSP13,0,0,3,0,0,0,1,1
DUSP14,163,280,263,203,140,115,140,237
DUSP15,0,2,0,0,0,0,0,0
DUSP16,64,97,106,76,24,31,25,46
DUSP18,70.46,134,111.29,79.11,68,51,67,112.84
DUSP19,13,14,15,20,9,9,5,19
DUSP2,93,163,142,69,87,52,54,114
DUSP22,286,516,449,327,315,314,279,625
DUSP23,100,223,197,106,102,80,92,174
DUSP28,96,170.52,135.95,109.65,74.68,73,77,157.32
DUSP3,2480,4179,3994,2842,3035,2496,2523,5368
DUSP4,37,66,60,35,23,38,25,48
DUSP5,72,209,229,164,60,69,73,131
DUSP5-DT,2,4,4,0,0,3,0,0
DUSP5P1,15,29,25,19,15,15,11,32
DUSP6,944.43,1378.7,1542.7,1112.3,753.76,799.26,813.9,1437.9
DUSP7,2647,4508,3964,3020,1735,1671,1669,2978
DUSP8,21,50,34,26,3,4,5,3
DUSP8P1,0,0,0,0,0,1,0,0
DUSP8P5,23,24,30,16,13,8,16,16
DUSP9,0,1,0,0,0,0,0,0
DUT,2239.5,4330,4147.1,2552.6,2735.7,2528,2460,5071.9
DUT-AS1,33.54,33.96,59.89,43.45,29.31,29,22.04,57.08
DUTP2,0,1,1,1,0,0,1,0
DUTP6,0,2,2,4,1,0,0,2
DUTP7,0,0,0,0,0,0,0,1
DUX4L26,0,0,0,0,1,0,0,0
DUX4L37,1,0,0,0,0,0,1,2
DUX4L50,13,35,25,12,17,8,15,29
DUX4L9,0,3,1,0,0,0,0,0
DUXAP2,0,1,0,1,1,1,0,1
DUXAP5,0,1,0,1,0,0,0,0
DUXAP9,2,0.4,0.39,1.37,0,0.45,0,1
DUXB,0,0,1,0,0,0,1,0
DVL1,522,1002,748,553,472,395,378,739
DVL2,561,1035,865,621,460,355,381,788
DVL3,1161,1975,1709,1349,990,843,861,1744
DXO,147.24,266.24,220.29,161.78,150.57,137.19,113.64,291.56
DYM,1135,1830,2084,1366,1150,1099,998,1918
DYNC1H1,4457,6745,5852,4006,3275,2821,2854,5941.5
DYNC1I2,1507.8,2412.8,2654.7,1780.8,1479.8,1446.7,1307.7,3020.6
DYNC1I2P1,13.16,16.16,16.34,20.18,16.22,18.27,18.3,26.41
DYNC1LI1,787,1100,1221,920,731,726,707,1418
DYNC1LI2,1763.1,2423.1,2461.8,1878.9,1711.1,1678,1447,3409.5
DYNC2H1,50,47,64,45,41,52,51,81
DYNC2I1,234,319,399,312,156,203,170,437
DYNC2I2,231,568,418,260,268,207,230,415
DYNC2LI1,167,261,340,213,132,132,128,249
DYNLL1,1666,3147,3186,2031,2054,1846,1781,3884
DYNLL2,1514,2382,2515,1767,1318,1262,1097,2866
DYNLL2-DT,0,0,1,0,0,0,0,0
DYNLRB1,974,1599,1631,1179,856,808,886,2049
DYNLRB2,0,0,0,1,0,0,0,2
DYNLRB2-AS1,1,4,3,2,8,7,7,10
DYNLT1,154,307,315,191,174,201,148,339
DYNLT2,42,64,83,50,38,48,48,95
DYNLT2B,13,37,40.97,19.29,31,23,8,31.06
DYNLT3,86,87,103,99,84,96,90,186
DYNLT3P2,0,0,0,0,0,0,0,1
DYNLT4,0,0,0,0,0,0,0,2
DYNLT5,2,8,3,7,16,8,4,19
DYRK1A,1667,2391,2578,1933,1482,1548,1386,2918
DYRK1B,192,332,306,210,134,106,115,255
DYRK2,662,821,818,639,521,563,498,1065
DYRK3,23,28,16,11,8,8,12,17
DYRK3-AS1,0,0,0,0,1,0,0,0
DYRK4,100,181,176,109,104,68,79,205
DYSF,1,6,0,0,3,3,0,1
DZANK1,31,50,71,40,28,36,32,68
DZIP1L,1,5,2,0,1,4,2,5
DZIP3,149,187,221,157,109,129,101,202
E2F1,692,1256,1030,727,666,511,517,1260
E2F2,325,522,460,321,331,249,253,524
E2F3,843,1265,1306,933,759,761,644,1417
E2F3-IT1,0,0,2,0,0,0,0,0
E2F3P1,6,5,6,5,4,3,2,4
E2F3P2,0,0,0,0,1,0,0,0
E2F4,1126,2071,1609,1126,1000,802,865,1710
E2F5,33.13,49.1,70.1,52.09,46.12,59.06,44.01,90.57
E2F5-DT,1,0,0,1,0,0,0,0
E2F6,318,499.88,545,346.84,340,299.91,286,645.83
E2F6P1,0,1.12,0,1.16,0,1.09,0,3.17
E2F7,362,485,465,338,291,295,270,606
E2F8,507,691,726,554,443,332,393,778
E4F1,208,444,369,239,234,190,214,432
EAF1,854,1351.9,1316.6,1000.1,687.88,694.65,626.77,1328.4
EAF1-AS1,0,3.28,3.24,2.9,0,4.53,2.04,3.63
EAF2,745,1302,1537,955,758,686,687,1462
EAPP,558,888,1008,752,570,603,562,1175
EARS2,452,805,726,477,481,394,406,838
EBAG9,604,842,1011,688,505,585,546,1119
EBAG9P1,0,0,0,2,1,0,2,4
EBF3,161,219,231,180,230,214,202,444
EBF4,1,1,2,1,0,0,0,0
EBI3,4,14,14,7,3,3,5,3
EBLN2,24,32,49,35,39,32,39,76
EBLN3P,1430,1991,2162,1669,1230,1376,1207,2494
EBNA1BP2,1486,2534,2415,1684,1539,1352,1289,2875
EBP,1485,2964,3073,1919,1425,1363,1326,2575
EBPL,446,898,809,547,512,449,443,912
ECD,560,875,906,698,532,503,519,986
ECE1,261,457,370,329,183,139,158,315
ECE1-AS1,1,0,0,0,0,0,0,0
ECH1,1981,4096,3877,2521,2240.8,1817.8,1995,4056
ECHDC1,1620,2315,2577,1970,1641,1698,1625,3240
ECHDC2,102,177,169,143,98,79,88,175
ECHS1,1076,2183,2206,1336,1552,1158,1276,2818
ECI1,264,539,433,304,278,225,193,395
ECI2,49,90,148,61,45,46,55,84
ECI2-DT,0,1,1,0,1,1,0,0
ECM1,240,436,401,271,248,251,245,437
ECM2,1,1,2,3,1,2,2,4
ECPAS,2424,3803,3878,2563,2050,1940,1849,3740
ECRG4,1,0,1,0,0,0,0,0
ECSCR,1,10,5,6,0,2,3,7
ECSIT,516,895,866,606,493,386,357,911
ECT2,836,1081,1226,854,745,823,661,1418
ECT2L,1.01,2,0,4.04,2.03,6.03,6.06,6
EDA,0,0,0,0,0,0,0,2
EDA2R,119,195,160,127,100,115,112,203
EDAR,0,0,1,2,2,0,0,0
EDARADD,0,1.47,6.74,1.55,2.81,2,0,1.61
EDC3,734.99,1237.3,1121.7,680.32,593.63,488.61,480.22,990.13
EDC4,932.95,1545.2,1277.6,865.33,730.13,570.58,606.66,1347.2
EDDM13,0,4,7,9,0,1,0,8
EDDM3A,0,0,0,0,0,0,0,1
EDEM1,4375.9,7201.6,7404.7,4856.9,3735,3920,3682,6899.8
EDEM2,378,687,679,439,409,367,336,684
EDEM3,2909,3454,3684,3026,2963,3188,2744,5234
EDF1,1699,3113,2979,2009,1604,1567,1555,3434
EDN1,0,1,0,0,1,0,0,0
EDRF1,506,729,763.09,579,449,424,421,869.65
EDRF1-AS1,3,5,3.91,0,2,0,5,13.35
EDRF1-DT,29,46.45,55.33,31.89,30.78,26.62,32.89,61.92
EEA1,1235,1100,1226,1067,746,829,838,1510
EED,375,685,699,462,444,431,368,915
EEF1A1,257240,438370,451000,306040,231780,211350,211080,462040
EEF1A1P1,0,0,1,0,0,0,0,0
EEF1A1P10,1,5,3,4,0,2,0,7
EEF1A1P11,3.01,8.68,3.02,3.76,2.34,2.01,4.4,6.52
EEF1A1P12,5.01,7.13,7.08,3.99,4.2,3.02,2.42,6.09
