,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
DPM1,66.3,59.06,69.49,65.84,67.04,79.19,80.25,67.75
SCYL3,3.19,3.12,3.16,3.09,2.77,2.8,2.79,2.45
C1orf112,11.72,10.67,11.33,9.94,10.8,9.19,10.5,9.88
FGR,9.91,10.67,10.27,9.2,4.79,5.08,5.74,4.15
CFH,0.4,0.18,0.16,0.14,0.32,0.07,0.13,0.42
FUCA2,25.6,27.51,27.48,26.03,28.52,27.69,29.58,25.19
GCLC,3.23,4.07,3.35,3.71,5.2,5.04,3.92,4.23
NFYA,28.12,28.09,24.33,24.53,27.36,26.3,28.14,22.96
STPG1,1.59,0.86,1.22,0.57,0.75,0.99,0.73,0.78
NIPAL3,6.73,6.58,5.92,5.57,5.91,5.99,5.22,5.22
LAS1L,39.9,42.3,38.36,36.85,38.86,37.32,40.2,35.38
SEMA3F,0.57,0.88,0.77,0.58,0.49,0.38,0.66,0.51
ANKIB1,5.86,5.2,5.43,5.37,5.48,5.6,6.46,4.91
CYP51A1,120.48,112.71,131.64,136.94,93.89,119.6,124.0,89.2
KRIT1,26.16,17.05,18.12,20.66,19.74,17.9,21.62,18.89
RAD52,7.54,7.39,6.03,7.12,6.53,9.27,4.31,8.68
MYH16,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
BAD,12.12,15.21,12.56,10.74,10.18,11.16,11.07,8.66
LAP3,41.3,46.11,40.19,37.73,50.87,43.55,47.34,41.57
CD99,65.98,78.45,72.73,74.7,66.0,63.5,70.57,61.08
AOC1,0.54,0.56,0.3,0.31,0.35,0.45,0.92,0.59
WNT16,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
HECW1,0.03,0.03,0.11,0.04,0.32,0.43,0.27,0.29
MAD1L1,24.04,34.59,28.63,23.64,27.87,28.87,32.93,19.93
LASP1,61.71,68.57,59.46,64.16,51.2,49.58,51.59,43.96
SNX11,14.47,19.78,14.95,14.95,17.3,16.96,15.52,15.12
TMEM176A,0.19,0.15,0.37,0.14,0.18,0.14,0.21,0.43
M6PR,135.17,146.05,125.24,133.09,137.71,134.32,136.48,118.75
KLHL13,1.49,1.2,1.2,1.42,1.33,1.16,1.19,0.94
CYP26B1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
ICA1,0.8,1.78,1.27,1.86,2.02,1.38,1.47,1.16
DBNDD1,2.13,2.8,2.24,2.24,1.74,2.51,3.25,1.79
ALS2,7.35,4.08,4.88,4.3,3.02,5.15,4.5,3.98
CASP10,5.12,5.06,4.03,3.94,5.28,3.59,3.93,3.14
CFLAR,25.69,25.2,25.0,22.78,20.62,19.67,21.61,19.26
TFPI,0.0,0.02,0.0,0.0,0.0,0.02,0.04,0.0
NDUFAF7,8.51,8.49,9.19,9.38,11.49,9.82,8.48,8.68
RBM5,48.91,56.41,53.59,57.46,58.82,61.31,65.22,54.83
MTMR7,0.18,0.3,0.27,0.4,0.34,0.37,0.44,0.43
ARF5,49.1,48.25,43.42,46.83,44.83,44.89,46.93,37.59
SARM1,0.19,0.24,0.03,0.36,0.18,0.02,0.13,0.21
POLDIP2,46.23,54.55,43.82,42.6,45.4,37.62,42.87,36.33
PLXND1,66.82,74.14,65.92,68.04,76.18,69.19,79.41,63.85
AK2,299.68,313.76,310.4,278.82,216.81,225.97,251.22,210.28
CD38,2.6,2.07,1.68,1.92,1.13,0.82,0.52,1.04
FKBP4,68.62,72.19,59.97,59.76,63.91,59.08,58.07,57.62
KDM1A,46.16,38.23,35.34,37.04,32.04,29.55,34.24,28.15
RBM6,54.28,56.11,51.92,54.0,59.47,59.69,56.54,57.91
CAMKK1,4.26,5.21,4.21,4.58,3.12,3.56,3.53,3.56
RECQL,35.03,36.55,32.49,28.87,33.89,31.66,34.63,27.45
VPS50,7.71,5.94,4.88,5.71,5.25,4.69,4.85,4.57
HSPB6,0.33,0.41,0.39,0.24,0.33,0.34,0.36,0.2
ARHGAP33,8.92,14.77,8.21,7.26,8.31,6.29,11.91,5.71
NDUFAB1,73.81,114.33,89.52,72.65,99.24,83.37,99.45,89.25
PDK4,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
SLC22A16,2.77,1.76,1.4,0.87,1.34,1.71,0.86,1.49
ZMYND10,0.36,2.76,0.59,0.82,0.54,0.74,1.01,0.88
ARX,0.07,0.08,0.01,0.02,0.12,0.03,0.0,0.01
SLC25A13,13.57,13.14,10.16,11.99,12.11,10.72,11.29,11.06
ST7,8.15,9.88,8.49,7.8,9.4,9.03,8.45,7.19
CDC27,35.32,31.06,29.68,26.3,26.51,29.32,32.43,27.06
SLC4A1,0.0,0.0,0.03,0.09,0.02,0.0,0.0,0.0
HCCS,22.24,24.87,22.27,20.72,20.92,20.51,21.1,21.23
DVL2,17.49,19.56,15.87,17.59,14.27,11.19,15.48,11.62
UPF1,42.11,48.79,39.18,38.32,40.63,34.37,36.76,33.86
SKAP2,35.84,32.39,34.57,35.22,35.67,39.68,41.57,31.41
SLC25A5,266.17,343.47,296.34,271.33,320.78,271.2,296.12,274.38
MCUB,1.49,1.68,2.63,1.21,1.83,2.35,1.38,1.73
HOXA11,2.33,1.98,2.02,2.26,1.79,1.88,1.98,1.91
POLR2J,52.68,63.45,53.95,49.77,51.65,47.26,52.75,48.3
DHX33,11.99,10.97,8.81,9.24,9.57,8.63,8.92,8.47
THSD7A,1.82,1.22,1.03,1.25,1.59,1.6,2.0,1.45
LIG3,19.66,13.47,12.4,16.13,16.34,11.31,18.37,11.49
RPAP3,19.43,15.55,21.04,17.71,16.15,16.85,16.58,14.98
ACSM3,17.61,16.29,16.65,17.67,20.83,22.75,23.92,22.21
REXO5,14.51,16.58,13.56,14.09,13.4,14.62,13.39,11.52
CIAPIN1,16.37,25.39,20.19,15.34,24.13,18.83,20.29,19.58
SPPL2B,25.3,34.66,26.15,22.87,30.8,25.77,28.01,24.61
FAM214B,6.75,7.77,5.88,6.46,4.93,4.84,6.42,4.62
COPZ2,3.13,3.28,2.49,4.18,4.66,3.06,3.34,2.12
PRKAR2B,2.22,1.99,2.17,2.34,2.38,2.87,2.56,1.98
MSL3,19.38,16.17,18.46,19.07,13.68,14.7,16.44,14.4
CREBBP,9.6,8.83,6.46,7.28,5.87,5.35,6.42,5.06
TSPOAP1,17.01,16.0,14.85,15.12,22.35,20.06,17.92,20.79
MPO,1.9,2.37,1.78,1.87,2.73,2.36,3.32,2.48
GCFC2,4.26,3.19,3.93,4.77,3.93,4.87,5.71,3.36
WDR54,14.88,22.28,19.91,17.71,15.28,15.65,19.48,15.96
CROT,1.57,1.29,1.46,1.45,1.72,1.67,1.56,0.9
ABCB4,0.55,0.35,0.16,0.1,0.06,0.15,0.0,0.07
KMT2E,32.36,28.85,27.9,31.09,25.01,27.01,29.99,22.74
RHBDD2,7.98,10.94,8.63,8.0,6.78,7.63,7.65,6.88
IBTK,17.53,15.18,14.99,15.53,14.55,15.83,15.06,12.76
ZNF195,23.1,25.44,23.01,23.74,28.2,25.45,27.23,21.01
MYCBP2,55.54,55.1,48.21,52.91,48.71,45.57,45.63,43.29
FBXL3,14.86,13.59,14.69,14.1,14.67,16.95,17.6,12.44
ITGAL,412.82,455.27,358.41,401.07,337.57,303.76,317.96,267.86
PDK2,8.37,9.22,6.29,5.73,7.03,12.14,7.16,6.54
ITGA3,1.04,1.51,1.75,0.85,1.15,1.23,1.35,1.09
ZFX,12.43,9.46,7.88,8.43,8.1,9.19,13.95,9.04
LAMP2,94.0,77.52,82.29,85.9,88.37,96.31,99.33,84.13
ITGA2B,2.08,3.23,2.37,1.91,1.68,3.19,3.04,1.81
GDE1,18.14,18.35,19.18,17.73,23.15,23.43,23.14,21.15
REX1BD,22.06,37.65,27.76,19.37,33.4,23.12,25.14,26.74
CRLF1,5.05,4.16,3.6,3.0,5.79,4.98,3.81,4.77
OSBPL7,5.76,5.33,4.79,2.98,4.81,6.26,6.76,3.57
YBX2,0.13,0.26,0.31,0.44,0.12,0.02,0.09,0.17
MAP3K14,1.0,1.27,1.34,1.11,1.19,1.9,1.38,1.16
TMEM132A,0.03,0.06,0.05,0.21,0.0,0.08,0.02,0.04
AP2B1,38.7,41.02,36.93,36.24,35.95,35.03,38.69,30.79
ZNF263,23.62,26.88,25.87,24.65,28.26,25.13,25.54,21.57
SPATA20,9.57,12.32,9.43,8.23,11.29,10.82,10.31,9.38
CACNA1G,0.0,0.0,0.01,0.01,0.0,0.11,0.0,0.0
TNFRSF12A,5.05,5.63,4.22,4.31,4.66,2.51,4.49,2.38
MAP3K9,0.02,0.02,0.01,0.0,0.02,0.02,0.01,0.0
RALA,16.96,14.06,14.7,15.09,13.15,15.11,16.14,13.9
BAIAP2L1,0.04,0.02,0.2,0.02,0.0,0.0,0.03,0.01
KDM7A,0.31,0.08,0.14,0.2,0.07,0.18,0.06,0.08
ETV1,0.17,0.67,0.25,0.16,0.19,0.6,0.18,0.17
AGK,4.7,4.67,4.66,4.08,4.01,4.62,4.5,4.96
ALDH3B1,10.75,12.99,10.57,10.23,9.71,9.26,10.47,8.09
TTC22,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
PHTF2,9.6,7.92,8.06,9.83,8.22,9.47,8.57,7.54
FARP2,15.19,14.03,11.99,10.97,10.18,11.8,11.89,8.68
GGCT,100.41,100.77,108.08,109.83,114.27,121.63,118.65,109.58
DBF4,36.82,36.2,35.08,35.8,36.69,41.99,42.35,33.8
TBXA2R,0.45,0.46,0.37,0.39,0.13,0.41,0.19,0.42
IFRD1,9.93,9.46,9.97,10.76,8.8,11.85,13.32,11.12
COX10,16.18,17.53,13.36,12.95,12.98,10.31,12.55,10.9
GTF2IRD1,9.67,13.27,11.7,10.75,11.35,12.61,8.32,9.78
PAF1,50.21,44.37,42.88,52.72,45.29,45.06,52.58,45.22
VPS41,24.88,15.33,19.47,17.42,19.18,14.01,16.3,13.42
ARHGAP44,27.55,29.97,24.53,25.08,13.52,14.98,14.76,13.56
ELAC2,37.78,42.05,35.15,32.0,34.24,34.75,32.04,32.85
ARSD,11.0,11.89,10.86,11.08,11.79,10.32,10.57,8.9
PNPLA4,1.54,4.16,2.36,2.0,3.3,3.64,2.56,3.81
MYH13,0.02,0.02,0.06,0.04,0.01,0.0,0.0,0.01
ADIPOR2,53.12,59.49,55.43,57.54,47.69,43.56,48.0,41.43
CDKL3,0.88,0.85,1.81,0.92,0.93,0.62,0.85,0.73
MARK4,11.82,11.48,10.22,12.9,7.97,8.44,7.89,8.04
PROM1,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
CCDC124,134.23,124.35,114.94,117.69,105.86,114.73,111.9,111.86
CEACAM21,6.32,5.19,5.22,4.32,4.71,3.59,4.46,3.77
PAFAH1B1,34.16,34.63,29.92,30.81,32.3,35.71,33.43,28.6
NOS2,0.95,1.01,0.87,0.85,0.65,0.74,0.74,0.43
KIAA0100,84.6,79.3,66.54,68.99,76.58,72.17,77.4,70.87
GAS7,2.98,3.34,2.81,2.52,1.63,1.66,2.0,1.27
TRAPPC6A,66.48,99.61,82.14,69.75,73.87,60.04,74.64,57.39
MATK,44.32,54.73,45.35,44.01,36.35,35.56,36.15,30.35
CD79B,0.53,0.46,0.9,0.33,0.53,0.7,1.08,1.66
SCN4A,0.3,0.14,0.12,0.26,0.01,0.03,0.23,0.02
ST7L,5.31,6.3,3.86,5.41,5.7,4.55,6.27,6.44
TKTL1,4.42,3.95,3.27,3.21,4.21,2.24,2.7,2.13
PAX6,0.13,0.0,0.08,0.0,0.0,0.11,0.0,0.03
RPUSD1,14.47,19.61,13.15,12.43,13.01,12.29,12.18,12.01
RHBDF1,1.29,1.76,1.8,2.24,2.59,1.27,2.11,1.79
LUC7L,25.01,24.8,24.01,24.8,28.05,27.42,25.77,27.79
CACNA2D2,0.06,0.06,0.07,0.12,0.06,0.06,0.06,0.11
BAIAP3,0.03,0.02,0.13,0.02,0.0,0.82,0.0,0.02
TSR3,12.1,17.28,15.4,13.03,14.09,12.84,14.52,12.57
PIGQ,6.19,10.28,7.78,6.03,8.46,8.44,7.97,5.4
CRAMP1,8.47,12.21,8.68,7.37,9.31,7.76,8.46,7.13
TEAD3,6.16,8.12,6.38,6.28,6.87,5.33,5.99,5.23
DNAJC11,31.22,27.37,24.9,27.18,24.52,20.03,28.1,26.08
MYLIP,24.08,26.01,28.93,27.76,19.13,19.25,23.66,19.39
NOX1,0.0,0.0,0.03,0.0,0.0,0.05,0.07,0.0
E2F2,4.69,4.27,3.72,3.44,4.23,3.33,3.98,3.17
PSMB1,159.41,184.65,185.31,159.55,213.06,185.19,198.0,185.86
SYN1,0.16,0.04,0.03,0.36,0.15,0.0,0.0,0.07
JARID2,22.88,20.8,19.12,20.2,17.3,17.49,19.47,15.88
CDKL5,0.15,0.13,0.12,0.25,0.16,0.1,0.1,0.13
CDK11A,30.08,28.6,24.15,28.37,27.75,32.88,29.33,28.77
NADK,26.2,32.77,26.62,30.15,31.88,26.75,31.33,26.96
DLEC1,0.0,0.05,0.05,0.07,0.0,0.0,0.05,0.01
CYTH3,5.58,5.81,5.27,4.88,4.93,4.22,4.69,4.84
ADAM22,0.14,0.18,0.1,0.14,0.12,0.27,0.52,0.13
SYPL1,59.43,59.23,59.98,59.14,61.6,71.25,74.97,53.87
CYB561,4.1,5.2,4.38,3.59,3.87,4.02,4.67,2.91
SPAG9,23.16,20.13,18.79,19.94,14.86,15.87,17.21,13.05
CELSR3,1.55,1.79,1.91,2.14,1.66,1.2,1.49,1.1
PLEKHG6,0.06,0.13,0.03,0.05,0.06,0.0,0.06,0.0
SS18L2,33.84,42.03,40.8,36.64,52.46,45.08,46.54,40.3
MPND,3.17,2.03,2.45,1.52,1.28,2.02,1.95,1.86
MGST1,61.28,65.68,78.22,68.29,84.63,90.89,96.57,80.74
CRY1,4.07,4.43,3.63,4.32,3.85,4.48,4.36,3.38
PGLYRP1,0.0,0.0,0.09,0.12,0.0,0.0,0.0,0.0
NFIX,8.92,8.68,7.15,7.72,5.59,6.63,5.57,4.72
ST3GAL1,24.78,24.58,24.64,25.21,13.17,13.88,16.75,11.55
MMP25,2.45,2.22,2.19,1.97,4.03,3.68,4.4,3.38
IL32,0.75,0.61,0.21,0.0,1.26,1.62,0.44,0.22
PKD1,17.21,23.98,17.63,22.38,20.75,14.95,18.99,16.32
MAPK8IP2,0.07,0.13,0.09,0.03,0.12,0.04,0.07,0.06
MED24,32.25,33.16,26.65,26.37,27.87,24.52,29.85,22.04
RHOBTB2,22.22,24.84,20.66,21.09,15.68,14.09,15.8,13.88
HEATR5B,7.28,7.28,6.89,7.15,7.22,7.38,8.66,6.72
SEC62,70.45,64.62,67.41,73.66,75.28,83.58,89.32,77.45
RPS20,2130.8,2618.9,2635.9,2224.2,2499.2,2295.6,2667.0,2326.0
CSDE1,282.08,245.66,253.09,272.97,245.54,270.49,280.68,233.59
UBE3C,28.85,25.75,24.52,24.76,24.2,23.08,23.37,23.42
REV3L,8.05,6.57,7.1,6.18,7.07,10.58,9.59,7.48
MASP2,0.38,0.62,0.41,0.52,0.59,0.46,0.3,0.54
FAM76A,3.25,2.7,2.81,2.31,3.08,2.3,3.47,2.45
TRAF3IP3,71.45,71.88,72.61,77.38,58.41,65.39,68.13,59.51
POMT2,5.8,5.73,5.18,4.12,6.21,5.85,5.66,3.99
VTA1,47.93,36.97,43.71,44.45,41.96,45.44,49.0,40.01
MLXIPL,0.24,0.35,0.28,0.23,0.02,0.04,0.0,0.17
BAZ1B,59.21,55.15,48.85,52.99,43.09,42.23,44.36,40.21
RANBP9,43.37,40.99,44.77,50.13,45.08,53.08,55.33,41.06
ETV7,0.05,0.07,0.03,0.05,0.12,0.0,0.0,0.0
SPRTN,4.41,3.66,3.54,4.26,4.11,4.89,4.39,3.92
EEF1AKNMT,23.76,24.93,24.93,22.74,22.68,21.14,23.96,19.04
DYRK4,9.78,13.18,11.79,9.87,12.15,9.58,10.94,10.76
ZNF207,149.46,132.31,122.87,133.54,119.09,120.46,132.83,116.37
UQCRC1,140.53,151.74,140.77,151.27,141.43,148.31,145.18,145.16
STARD3NL,27.58,28.02,27.02,23.5,26.62,26.93,28.65,23.12
CD9,0.83,0.82,0.98,0.77,0.41,1.18,1.53,0.66
NCAPD2,93.59,90.13,77.03,63.89,69.25,57.74,61.0,60.39
IFFO1,5.3,7.08,5.25,4.84,6.89,5.52,6.16,5.6
GIPR,11.23,11.92,11.18,13.75,6.34,8.05,6.77,8.76
PHF7,17.45,18.26,15.02,18.85,17.45,15.5,13.42,14.52
SEMA3G,1.03,1.08,0.97,0.73,0.86,0.94,1.12,1.08
NISCH,27.59,28.71,23.54,24.36,28.14,26.22,25.45,21.7
STAB1,0.13,0.1,0.31,0.11,0.24,0.06,0.04,0.26
FUZ,10.5,18.58,14.58,12.94,14.09,12.41,15.45,13.89
SLC6A13,0.46,0.15,0.72,0.15,0.16,0.08,0.09,0.2
IDS,7.21,7.96,7.51,7.34,7.86,8.09,8.46,7.62
ZNF200,10.65,12.67,11.39,12.09,13.01,11.67,13.32,11.63
CD4,97.19,105.59,89.06,85.96,98.15,91.51,101.35,84.2
LRRC23,9.09,8.93,8.89,9.7,8.78,9.21,6.88,7.76
BTK,69.05,70.11,68.35,66.75,63.25,62.86,61.39,58.33
HFE,0.01,0.0,0.01,0.01,0.13,0.0,0.0,0.0
SCMH1,18.76,20.53,15.8,19.94,17.98,14.42,17.17,15.46
FYN,3.54,2.6,3.77,3.6,3.14,2.6,4.88,3.3
HIVEP2,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.0
FMO1,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0
ELOA,20.25,21.07,16.9,15.82,15.99,16.16,15.45,14.13
LYPLA2,34.31,43.61,37.93,36.13,35.97,30.49,32.44,36.49
CLCN6,14.19,14.94,14.71,15.31,9.82,10.22,12.29,10.04
MRC2,62.32,70.46,57.11,52.37,52.55,40.77,46.87,39.08
NME1-NME2,13.89,9.78,15.1,13.47,19.64,11.9,15.54,13.82
TSPAN9,0.22,0.35,0.27,0.31,0.25,0.18,0.2,0.19
BTBD7,15.33,14.2,12.99,14.39,14.86,15.67,16.58,13.94
APBA3,8.16,9.65,6.96,7.82,4.76,4.9,6.83,4.95
MKS1,5.75,7.55,8.13,6.49,8.07,7.94,7.62,5.38
ABHD5,5.21,4.46,3.97,4.42,4.3,4.1,4.11,3.98
AKAP8L,50.39,47.41,45.2,45.08,40.64,37.44,44.75,38.74
MBTD1,18.41,16.87,15.92,17.34,15.08,17.57,17.8,14.6
UTP18,49.83,51.65,46.15,48.5,50.74,49.8,49.12,45.79
RNF216,14.31,15.79,13.15,13.31,12.3,10.72,12.34,10.59
TTC19,14.46,17.08,15.22,17.48,18.35,17.16,18.56,16.7
PTBP1,254.19,278.8,212.94,219.78,208.78,185.68,196.19,170.09
DPF1,0.28,0.27,0.4,0.58,0.13,0.1,0.39,0.23
SYT7,0.07,0.1,0.07,0.09,0.1,0.06,0.08,0.03
LARS2,7.52,9.08,6.2,6.48,7.31,5.82,7.56,5.64
PIK3C2A,12.7,6.81,8.11,6.31,6.12,6.43,6.36,4.59
PLAUR,70.28,86.7,84.9,80.09,60.07,60.41,72.38,53.61
ANLN,29.94,25.61,25.29,28.88,30.01,33.23,37.4,28.48
WIZ,19.93,19.06,15.11,15.93,15.72,11.96,15.56,11.44
RABGAP1,5.91,5.94,6.6,5.37,4.68,5.47,6.86,5.13
QPCTL,13.0,19.68,16.82,12.27,12.92,11.22,13.92,10.35
PPP5C,46.42,54.6,47.66,50.05,51.73,42.58,49.94,44.51
CEP68,3.98,3.78,3.65,3.52,3.22,3.02,3.13,2.89
MAP4K3,3.9,2.81,2.75,3.23,2.83,3.45,14.26,2.39
ZBTB32,0.04,0.13,0.1,0.04,0.25,0.0,0.1,0.02
TYROBP,121.84,149.67,141.49,120.26,158.69,151.1,164.77,137.66
TMEM159,7.0,10.5,8.53,6.6,5.86,6.7,8.75,5.48
BRCA1,34.86,30.25,30.23,31.84,28.13,28.34,30.85,28.69
ERCC1,98.37,107.91,97.33,94.36,94.03,80.76,89.47,77.18
CD22,0.23,0.27,0.35,0.16,0.73,0.37,0.26,0.42
SEMA3B,0.17,0.33,0.23,0.61,0.36,0.26,0.38,0.26
MBTPS2,6.94,6.18,5.88,5.33,4.99,6.23,6.34,5.26
PRICKLE3,7.49,8.02,6.22,6.55,7.53,5.15,5.77,4.8
LTF,0.05,0.2,0.0,0.25,0.0,0.37,0.0,0.01
EXTL3,6.06,6.92,4.45,5.16,6.14,4.41,4.52,4.13
ELOVL5,57.22,50.96,52.46,59.44,43.23,50.4,50.2,43.97
ALOX5,0.04,0.12,0.0,0.0,0.0,0.22,0.0,0.01
KDM5D,12.11,10.35,9.79,9.17,10.76,10.43,9.83,9.78
CALCOCO1,17.09,17.52,16.87,15.51,14.75,12.87,12.84,14.81
UBR7,33.64,32.53,29.4,30.08,30.54,30.06,29.44,27.65
MAP4K5,15.26,12.42,11.52,12.29,10.47,12.22,11.73,10.44
PSMC4,69.43,76.62,69.35,62.06,74.9,56.04,70.44,66.67
MAN2B2,9.64,11.15,8.92,9.55,9.79,9.28,11.2,8.59
CLDN11,0.08,0.03,0.02,0.0,0.0,0.0,0.05,0.04
SLC25A39,60.18,73.93,54.73,52.34,61.37,47.96,54.32,45.97
MVP,14.59,14.82,12.53,11.97,13.07,11.65,12.86,10.38
NUB1,39.42,30.05,33.81,35.55,30.64,35.02,29.23,28.04
PGM3,7.02,8.77,7.59,6.75,7.34,5.96,7.6,6.16
RWDD2A,1.21,1.11,1.06,1.12,0.8,0.86,0.98,0.67
CLK1,37.96,40.83,43.29,44.6,46.98,51.31,52.01,46.64
POLR3B,5.9,5.49,5.18,5.37,6.04,5.2,5.09,4.86
ANGEL1,7.06,7.85,6.22,6.43,5.64,5.37,6.88,3.99
RNF14,21.1,16.72,17.23,15.54,17.76,18.36,16.02,14.59
DNASE1L1,6.17,7.42,6.48,5.64,5.48,6.01,5.33,4.84
DDX11,19.77,26.54,17.21,22.39,28.31,24.1,24.44,21.56
HEBP1,13.89,16.41,14.12,12.88,17.61,14.9,18.11,14.43
MAMLD1,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0
CD6,0.05,0.41,0.01,0.06,0.47,0.04,0.0,0.02
TACC3,78.91,83.34,67.22,75.05,71.48,62.85,70.97,69.25
UFL1,12.34,10.98,11.75,12.35,11.34,13.55,14.51,10.51
POLA2,25.84,25.84,21.47,27.16,22.1,18.65,24.95,21.99
ZC3H3,17.27,17.45,14.46,15.57,12.1,12.05,12.0,10.71
CAPN1,55.33,68.11,51.5,53.85,50.53,45.05,53.2,41.6
ACP3,14.36,14.05,12.03,10.65,16.57,14.7,15.15,12.93
MDH1,102.72,130.37,117.69,111.83,146.7,124.31,135.9,118.82
SLC30A9,36.6,31.85,32.7,35.2,31.01,32.66,35.49,32.6
MTMR11,20.93,22.89,22.58,19.18,16.28,15.55,18.88,14.22
COX15,26.62,25.54,23.23,22.13,25.31,24.76,25.16,20.85
CCDC88C,12.98,13.39,12.58,13.92,10.79,10.66,8.48,9.34
YAF2,12.89,10.08,12.96,12.2,11.11,14.77,12.57,12.35
ZMYND11,14.1,11.71,11.21,13.95,12.76,13.98,14.9,11.91
WAS,118.23,116.16,99.34,103.08,88.02,79.58,92.89,75.79
BID,50.77,45.83,53.26,46.44,55.37,45.06,47.42,37.98
MATR3,180.52,161.55,162.26,192.75,172.07,183.5,193.73,156.55
NPC1L1,0.01,0.0,0.0,0.02,0.0,0.03,0.02,0.0
XYLT2,6.28,6.24,5.69,6.03,5.77,5.46,5.2,4.94
RGPD5,0.0,0.01,0.0,0.08,0.04,0.13,0.0,0.0
STMN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
NUDCD3,15.49,20.78,19.13,17.7,16.77,13.64,18.0,14.2
CHDH,0.01,0.0,0.01,0.0,0.05,0.04,0.24,0.0
GLT8D1,25.27,25.09,23.93,25.29,33.24,28.06,30.55,29.64
ATP2C1,20.86,15.72,16.05,20.14,18.22,16.26,18.2,16.63
IGF1,2.8,2.22,2.01,1.99,2.86,4.04,3.52,3.22
SLC38A5,36.75,41.56,33.55,34.54,33.7,26.63,27.32,26.83
RALBP1,40.96,42.66,41.37,42.67,39.21,39.63,38.32,35.1
RUFY3,0.67,0.55,0.52,0.63,0.45,0.34,0.28,0.61
SLC11A1,0.41,0.46,0.39,0.37,0.44,0.19,0.31,0.35
WWTR1,0.04,0.0,0.02,0.03,0.0,0.04,0.04,0.03
AGPS,28.67,24.12,20.64,24.02,22.22,21.44,22.14,19.35
CXorf56,21.06,23.12,24.23,18.34,22.51,19.73,21.31,20.82
ATP1A2,0.0,0.11,0.04,0.15,0.08,0.1,0.46,0.07
TTC27,14.45,13.14,13.03,12.63,13.17,11.42,12.08,10.54
ZNF582,2.15,2.29,2.16,2.02,1.64,2.56,2.96,1.71
VSIG2,0.28,0.18,0.08,0.29,0.07,0.07,0.65,0.23
PHLDB1,2.84,3.17,2.36,2.02,2.6,1.9,3.84,2.34
MARCO,1.35,1.09,1.14,1.25,1.86,2.44,1.88,2.08
PRDM11,0.72,0.92,0.72,0.76,0.67,0.63,1.0,0.55
CD74,412.64,402.67,373.58,347.16,334.61,333.7,369.61,355.84
ZRANB1,5.62,5.46,5.43,5.98,5.76,5.57,5.49,5.01
NCDN,9.36,11.5,7.62,7.14,9.2,7.38,8.25,7.16
ADGRA2,42.09,42.64,34.81,38.44,31.85,28.51,30.75,26.68
CCT8L1P,0.0,0.0,0.03,0.0,0.0,0.05,0.0,0.0
ZFP64,8.26,8.23,7.27,7.38,6.01,4.82,6.02,5.58
MNAT1,23.95,22.43,27.94,25.23,28.46,24.92,23.38,29.99
SAMD4A,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
RUNX3,37.95,45.22,35.49,38.15,33.71,32.08,35.53,28.14
MRE11,35.85,30.69,33.17,33.67,33.45,35.5,37.13,31.01
PLEKHB1,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
SERPINB1,48.83,48.78,46.84,55.95,43.76,41.15,48.76,42.83
SLC7A9,0.11,0.0,0.05,0.0,0.0,0.0,0.0,0.0
SPAST,13.38,10.64,11.99,13.54,13.04,15.28,12.95,11.2
NRXN3,0.02,0.0,0.01,0.02,0.0,0.02,0.0,0.01
OSBPL5,27.13,25.83,20.15,24.7,21.2,21.06,22.29,18.74
AQR,14.98,13.14,16.06,17.98,16.18,15.13,14.93,14.53
CPS1,2.9,2.06,1.55,1.82,1.34,2.02,2.35,1.21
FHL1,6.98,8.69,6.98,8.04,7.05,6.53,7.86,5.51
RTF2,66.26,73.65,70.32,68.25,70.78,71.48,64.18,67.78
NLRP2,0.48,1.84,1.38,0.98,1.45,2.19,0.86,1.47
SLC45A4,10.23,12.35,10.58,9.21,10.37,10.25,10.39,10.29
RNF10,51.62,71.76,54.82,56.01,59.3,59.04,58.51,40.56
ZNF839,3.9,4.23,3.55,3.95,3.7,2.6,2.94,2.25
ZDHHC6,32.9,24.88,28.19,30.17,34.27,37.24,37.06,33.8
GRAMD1B,2.25,3.01,2.27,2.72,2.98,2.23,2.88,2.0
RNH1,91.4,121.16,95.07,82.5,108.83,84.05,103.13,86.32
NDUFS1,36.63,34.56,34.29,31.04,34.54,31.03,32.44,28.38
RB1CC1,24.3,23.59,25.1,27.17,22.19,25.98,25.95,23.13
ERP44,26.94,23.76,25.15,25.46,23.38,26.89,27.73,23.62
