GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MV411-MYB-dTAG-DMSO_2h,MV411-MYB-dTAG-VHL_2h,MV411-MYB-dTAG-DMSO_4h,MV411-MYB-dTAG-VHL_4h,MV411-MYB-dTAG-DMSO_8h,MV411-MYB-dTAG-VHL_8h,MV411-MYB-dTAG-DMSO_12h,MV411-MYB-dTAG-VHL_12h,MV411-MYB-dTAG-DMSO_24h,MV411-MYB-dTAG-VHL_24h,MV411-MYB-dTAG-DMSO_48h,MV411-MYB-dTAG-VHL_48h
A1BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT1,17.6,23.0,47.6,44.0,21.8,29.4,27.2,31.8,14.2,31.6,29.0,55.0,36.6,27.4
AAMP,40.4,31.4,60.6,33.4,31.2,14.8,22.0,30.4,21.8,17.4,31.0,32.6,39.6,19.6
AARS1,38.2,35.0,65.6,75.0,32.8,30.8,35.4,38.4,21.2,34.0,53.0,52.8,102.4,33.8
ABAT,6.8,9.2,8.2,9.4,12.8,11.6,8.6,13.6,6.8,13.2,7.8,35.6,13.8,18.6
ABCA1,8.6,3.6,4.6,0.4,2.4,0.0,3.0,1.6,1.4,4.6,6.8,2.4,8.4,0.8
ABCA2,7.8,3.6,11.2,3.0,6.2,1.8,4.0,1.6,3.2,0.4,4.2,2.4,6.8,1.2
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
ABCB7,2.2,1.8,2.6,2.0,3.0,1.4,2.0,1.0,1.2,2.6,1.8,2.0,1.8,2.2
ABCF1,87.2,67.2,120.6,77.8,63.0,27.8,64.2,63.0,35.6,58.6,68.6,79.8,86.4,61.8
ABL1,91.8,92.0,124.8,96.6,62.0,35.6,53.0,65.6,34.2,55.2,67.8,87.4,86.6,36.4
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
ABL2,57.0,75.4,143.8,150.6,96.8,73.6,71.0,97.2,39.6,81.8,74.0,113.2,96.4,78.0
ABO,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,114.4,113.8,167.4,184.6,118.6,84.8,81.8,145.2,52.4,140.0,114.4,201.8,125.6,107.2
ACAA1,51.2,46.2,105.2,81.8,44.4,21.8,30.6,38.2,26.8,31.8,41.2,71.8,65.8,65.2
ACACA,90.6,82.6,139.6,163.2,103.4,66.4,79.0,91.2,54.0,64.2,92.8,123.4,138.2,66.2
ACACB,4.8,2.6,5.4,4.2,5.8,3.4,4.8,9.4,3.4,6.6,6.8,11.6,9.8,6.8
ACADM,11.2,12.6,27.0,20.8,12.6,13.4,15.2,15.0,6.6,19.4,16.6,30.4,24.0,15.2
ACADS,5.6,2.4,2.8,4.6,2.2,1.0,2.4,1.6,0.8,1.2,2.4,2.8,3.6,3.6
ACADSB,26.2,32.4,44.0,39.6,33.2,26.8,31.0,29.8,15.6,29.2,32.2,61.0,34.2,39.8
ACADVL,12.0,10.4,14.2,12.0,9.0,5.0,11.8,8.8,9.2,6.6,11.8,11.4,22.0,7.8
ACAT1,14.2,6.0,15.6,7.4,12.2,4.4,11.0,8.4,5.6,4.4,8.0,11.0,8.2,6.8
ACAT2,11.2,39.2,22.2,113.0,11.8,40.0,14.4,14.8,8.6,14.2,40.4,44.8,69.6,25.6
ASIC1,0.8,3.4,5.2,4.2,3.8,1.4,3.2,2.8,2.4,2.4,3.6,3.4,5.6,2.8
ACHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,71.6,91.2,129.2,142.8,65.8,50.0,59.0,60.2,38.4,56.8,92.6,102.2,114.0,59.0
ACO1,2.6,3.2,9.6,11.4,6.6,8.4,5.4,4.6,5.4,5.2,6.6,7.6,5.8,9.4
ACO2,16.8,20.2,24.8,25.8,13.6,9.8,9.8,13.4,5.8,16.4,15.4,16.0,20.4,19.2
ACOX1,25.8,37.4,59.0,46.2,38.2,37.2,32.0,44.4,17.6,43.2,29.2,67.6,38.0,63.8
ACP1,150.2,156.4,308.8,219.2,178.0,130.6,143.8,192.2,90.8,164.2,164.6,217.8,231.2,116.0
ACP2,12.8,11.8,18.6,21.8,15.4,9.4,8.6,14.6,5.6,14.0,13.2,24.0,13.6,19.0
ACP3,26.4,13.4,71.8,30.8,44.2,25.6,29.6,34.2,20.0,34.4,38.8,89.0,35.6,108.6
ACRV1,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0
ACTA1,0.2,0.2,0.2,0.2,0.0,0.4,0.4,0.0,0.0,0.2,0.2,0.0,0.4,0.4
ACTB,792.0,828.0,1131.4,1098.8,619.0,648.2,626.8,1012.0,522.6,1046.0,1318.4,1623.6,1222.2,991.8
ACTG1,1915.4,1944.6,2424.0,2066.2,1389.4,939.2,1261.8,1509.6,985.8,1422.6,2468.6,1856.6,2604.0,945.2
ACTN4,111.8,89.4,158.8,115.6,72.4,37.4,62.6,77.4,47.8,66.8,95.6,107.4,128.2,79.6
ACTL6A,24.4,25.2,51.2,38.6,30.2,16.6,29.0,27.8,17.2,21.6,28.6,34.8,40.6,21.6
ACTN1,19.0,13.8,36.4,17.0,20.4,12.2,15.0,15.0,10.2,14.6,35.4,22.2,45.4,7.2
ACVR1,2.8,4.4,9.0,13.0,7.8,8.4,6.6,10.6,2.8,10.8,8.6,15.4,11.4,13.2
ACVR1B,40.8,53.6,64.4,60.4,37.0,28.4,42.6,42.6,25.2,42.8,51.2,60.0,52.6,28.8
ACVR2A,4.0,5.0,9.2,11.0,4.6,7.4,6.4,11.4,2.4,10.2,7.6,19.4,8.0,10.4
ACVR2B,22.8,29.4,45.0,32.0,27.8,24.2,25.4,40.6,16.0,32.4,25.2,51.4,36.2,23.4
ACVRL1,2.6,4.2,3.4,5.0,1.6,5.4,3.6,9.6,2.4,6.4,7.0,16.6,8.2,5.4
ACY1,3.4,3.6,3.6,2.8,1.8,1.6,1.2,0.6,3.0,2.0,5.0,2.2,4.8,1.6
ACYP1,33.2,28.4,54.4,49.0,27.4,19.8,30.4,30.8,17.0,25.0,26.8,33.2,42.2,18.4
ACYP2,0.0,0.4,1.6,2.6,1.8,1.4,0.6,1.2,0.8,1.4,1.0,3.4,2.0,2.8
ADA,29.8,9.8,35.8,9.4,23.2,6.4,23.4,9.8,11.0,9.6,26.0,27.0,35.8,23.8
ADAM8,4.6,6.2,4.6,5.6,2.2,3.4,1.8,7.6,2.8,7.4,4.4,12.4,6.4,18.0
ADAM10,94.4,129.0,239.6,221.2,118.4,131.4,117.4,191.8,61.0,183.8,142.2,364.6,205.0,189.8
ADAR,209.2,242.8,406.0,302.8,224.0,144.0,188.8,261.4,103.2,195.0,207.8,316.2,274.6,180.6
ADARB1,12.2,10.0,25.2,28.4,17.0,9.2,13.0,14.4,6.4,10.2,12.6,15.0,17.0,15.0
ADCY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
ADCY3,15.2,12.8,28.2,15.8,16.6,7.6,15.8,12.6,7.6,14.2,12.6,17.4,17.4,12.2
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.4,0.8,0.2,1.2,0.2,1.2,0.4,2.8,0.8,2.2,1.4,4.8,2.4,4.4
ADCY7,110.0,122.2,161.2,129.6,115.6,107.0,88.8,167.6,41.0,141.4,104.2,311.8,127.6,228.8
ADCY8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY9,154.8,118.2,197.4,95.2,140.2,47.6,111.4,86.2,55.4,63.4,140.6,92.0,174.8,30.6
ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,53.0,57.0,77.2,68.2,51.6,35.8,41.2,79.2,19.8,64.0,54.6,122.6,75.6,61.2
ADD2,52.2,45.2,89.6,41.8,43.4,12.6,43.2,18.4,20.0,17.0,55.2,25.4,60.2,14.8
ADD3,9.6,13.6,30.0,31.0,17.4,21.4,17.8,31.4,11.2,27.8,28.6,66.8,37.4,49.2
PLIN2,5.8,8.8,8.8,6.8,4.6,5.0,5.4,8.6,2.6,4.6,8.2,9.0,12.6,2.8
ADH5,30.4,34.2,67.2,59.6,34.6,25.8,34.0,39.2,19.8,35.2,40.0,69.6,57.6,41.4
ADH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK,19.8,22.0,27.2,36.0,26.0,26.2,26.6,23.6,15.6,27.0,22.0,39.2,39.4,24.4
ADM,0.0,1.0,0.6,1.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0
ADORA1,0.6,1.2,1.2,1.2,0.4,0.8,0.4,2.0,0.2,2.0,0.4,8.2,0.8,7.0
ADORA2A,3.8,4.2,5.0,6.2,1.8,2.8,1.6,10.8,3.6,6.4,6.6,15.2,7.2,3.2
ADORA2B,30.4,24.0,46.8,33.8,23.6,20.2,25.6,29.8,16.8,26.2,44.0,66.2,48.8,61.8
ADORA3,0.4,1.6,0.6,2.0,1.0,0.6,0.8,4.0,0.6,2.6,0.8,12.4,1.4,12.6
ADPRH,1.4,2.2,3.4,4.0,2.6,4.8,3.0,5.6,1.8,5.0,4.2,10.6,4.0,10.0
PARP1,48.6,41.8,83.8,44.0,40.6,26.2,33.2,40.6,28.2,32.4,41.4,46.4,51.8,42.2
PARP4,16.0,14.2,14.4,11.2,11.8,10.2,10.2,8.4,5.6,10.2,9.0,8.4,15.2,12.6
ADRA1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2B,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,1.6,1.8,1.4,2.2,1.2,1.2,1.0,2.8,0.8,4.2,0.8,8.6,3.6,8.2
ADRB2,36.4,16.0,66.4,23.6,43.6,18.0,29.2,23.2,20.2,25.6,30.8,63.6,27.4,44.0
GRK2,126.0,51.4,160.0,59.4,91.8,25.6,73.2,45.8,51.0,39.8,114.4,90.4,145.8,62.8
GRK3,33.6,35.4,68.6,58.6,45.2,22.6,42.4,44.6,19.6,35.0,41.8,70.0,51.6,48.8
ADSL,8.6,10.8,21.0,13.0,10.2,6.8,10.8,8.8,8.4,10.8,12.6,15.8,22.8,12.2
ADSS2,24.4,24.4,57.2,32.8,23.6,18.0,24.6,24.8,19.2,24.6,29.0,40.0,39.4,26.4
AP2A1,4.8,9.4,12.8,8.4,7.2,4.2,8.2,9.8,6.8,8.0,9.2,13.0,14.0,13.2
AP2A2,10.2,9.2,19.2,16.2,12.8,6.0,9.2,12.4,5.4,10.8,11.2,15.2,16.6,13.6
AP1B1,27.8,24.2,38.4,29.0,17.2,12.4,15.0,24.0,14.2,22.6,25.6,34.6,40.4,31.8
AP2B1,76.4,78.8,221.6,158.8,143.8,82.6,98.4,115.0,54.0,94.0,110.0,139.2,149.0,79.8
AP1G1,186.8,263.4,443.4,351.2,215.2,193.2,195.0,286.8,101.2,230.4,209.2,366.4,273.2,195.2
TLE5,1.0,1.6,1.2,2.2,0.8,0.6,0.8,1.4,0.4,0.4,3.4,1.4,1.2,1.2
CRISP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG3L1P,76.4,88.6,115.6,109.6,74.8,59.0,70.0,88.0,40.4,85.6,74.8,111.8,120.8,73.8
AGA,17.4,19.4,34.2,32.2,16.4,16.2,14.0,26.2,10.6,22.4,16.6,23.4,41.2,14.0
AGER,10.6,10.6,13.8,12.4,13.4,6.6,11.2,15.0,5.0,11.8,10.6,21.4,14.2,14.0
AGL,9.0,8.0,16.2,12.8,5.6,10.6,8.0,11.6,3.6,10.4,9.0,19.2,11.4,13.0
AGRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,4.2,4.6,3.0,5.8,0.8,7.0,0.6,16.8,0.0,17.0,1.0,37.4,2.0,33.2
AGT,0.6,2.2,3.6,2.8,1.4,1.8,2.0,2.2,0.8,2.6,1.8,4.0,0.8,1.4
APLNR,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
AHCY,85.0,82.0,124.0,77.4,66.4,30.8,62.0,49.2,42.2,48.8,73.8,75.4,100.8,52.4
AHR,89.4,78.0,188.8,117.6,94.6,93.4,101.4,162.8,48.6,183.2,156.8,269.8,193.4,115.2
AIF1,24.6,19.4,35.0,35.8,17.0,17.8,16.8,23.8,13.4,23.8,33.2,42.4,49.8,34.2
CRYBG1,35.6,12.2,63.2,18.0,34.2,13.2,34.2,34.0,22.4,26.6,35.6,43.4,46.4,24.2
AK1,0.6,0.4,0.0,0.6,0.4,0.2,0.4,0.4,0.6,0.4,0.2,1.6,1.0,0.4
AK2,606.8,476.0,1172.2,520.0,630.6,301.6,612.0,518.2,304.8,427.4,657.0,720.0,1006.0,463.0
AK4,3.0,1.2,0.6,0.4,1.0,1.2,0.6,2.6,1.0,3.8,7.0,10.6,3.4,2.2
AKT1,41.8,41.4,66.0,54.0,34.6,21.8,34.6,47.2,19.8,33.4,42.2,56.0,57.0,36.4
AKT2,54.2,48.6,66.0,50.4,44.6,24.0,36.8,40.2,25.8,30.8,46.2,63.6,68.4,51.4
ALAD,30.6,38.0,64.4,56.2,27.4,28.2,26.2,43.2,16.6,34.4,34.6,78.8,41.4,55.8
ALAS1,10.0,15.4,15.2,20.4,7.0,13.2,6.6,22.2,7.2,22.6,12.8,24.4,18.2,15.8
ALCAM,13.2,13.2,48.2,26.4,20.2,13.6,16.2,17.0,11.6,14.8,16.8,14.8,19.0,8.6
ABCD1,7.8,10.2,8.8,5.2,5.2,2.8,5.4,7.8,3.4,5.8,8.8,9.4,13.6,9.2
ALDH2,0.0,0.4,1.0,1.4,0.8,1.6,1.0,0.6,1.0,0.8,1.8,5.4,2.2,4.6
ALDH1B1,57.6,77.8,106.4,72.4,68.8,48.4,68.4,80.0,43.4,78.0,90.0,131.2,93.4,69.6
ALDH1A3,0.4,1.0,2.4,1.2,1.0,0.8,0.8,0.6,0.6,2.0,0.8,5.4,1.0,7.0
ALDH3B1,11.6,13.0,12.8,9.8,9.8,7.8,5.8,16.6,7.0,11.6,10.8,29.0,15.4,27.2
ALDH9A1,75.2,56.2,143.0,83.8,70.6,62.2,58.6,72.6,35.6,71.6,69.8,110.0,105.0,70.2
ALDH3A2,7.8,10.4,15.8,12.4,10.0,6.8,9.4,7.8,3.6,9.2,9.0,12.6,8.8,12.4
ABCD2,8.0,8.0,10.4,14.2,4.6,14.8,5.4,27.8,1.4,32.0,11.8,107.4,14.8,54.6
ALDOA,142.0,140.0,192.2,172.4,89.6,52.8,77.8,90.2,77.4,83.0,152.4,112.8,160.4,72.4
ALDOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOC,1.8,6.4,5.2,8.2,2.4,3.4,2.2,3.6,3.0,2.6,6.6,7.8,7.4,7.4
AKR1B1,10.8,6.8,15.8,10.6,8.8,5.8,12.0,14.2,6.8,8.2,10.2,13.2,13.4,9.8
ALOX12,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX5AP,24.4,41.0,27.2,66.0,15.2,60.2,14.8,121.8,9.0,108.6,21.6,238.8,38.8,239.4
ALOX12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOX15,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.2
ALOX15B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD1,519.2,580.8,1184.4,790.8,634.2,529.6,623.0,767.8,349.8,713.2,739.6,1043.6,898.0,480.6
AMFR,21.4,19.0,35.0,28.4,21.4,15.4,14.4,23.2,9.4,21.8,18.8,34.0,27.0,18.6
AMH,0.4,0.6,0.6,1.4,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.2,0.0,1.2
AMPD2,22.6,24.4,30.2,16.4,16.0,7.6,17.6,15.8,12.4,12.2,23.6,26.0,29.4,22.8
AMPD3,7.6,5.0,7.0,6.0,5.6,8.4,3.4,18.0,3.4,14.6,5.4,37.0,6.8,17.6
